year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96983984893.02562,97068062384.2142,88688453313.49971,106142545125.24173,7933984893.025613,8018062384.21421,-361546686.5002869,17092545125.241732
2024,104409891765.27188,103131650775.66269,91474945728.6114,117719538753.02858,7425906872.246277,7738124931.261185,-874274075.5939912,15518131080.650625
2025,112992244871.85129,113554628448.52014,97266218206.88748,129320437125.235,8582353106.579412,7904007473.412764,-689160386.1054289,17446175167.13605
2026,120081036248.84761,119815013909.80005,99282436390.05191,141008535461.7368,7088791376.996315,7592023870.485712,-4803894186.095933,18713548975.58412
2027,125890851126.42918,124740427523.85565,104625138551.59186,150734084767.22153,5809814877.581561,5922562186.296774,-7577393755.382247,18241018448.39335
2028,132922307763.4234,132881717539.501,107088204193.18587,160703995440.17993,7031456636.994229,6255339567.804988,-7416516943.937675,22398951468.04997
2029,140417038454.2233,138572457109.67007,112846858782.14192,173597850304.46692,7494730690.799895,8391715639.1532,-8003651881.205605,24160660269.659668
2030,148535662387.63995,144445466276.80176,116408882137.14488,189697883652.69037,8118623933.416643,7808803867.783804,-4008457250.286686,21027472835.430553
2031,155804603713.87677,154965027683.3668,116200545666.11018,206520896191.2939,7268941326.236799,5679857226.737907,-8020606786.909243,23546689222.449936
2032,163499975198.89526,160275962245.4072,120630464818.81361,218847909597.81067,7695371485.018507,8425543450.7162,-8540971049.218479,23537429477.552265
2033,168120101248.6178,163168302350.51355,126815843150.6422,236015844444.20856,4620126049.722547,5305790731.106451,-13062933987.41403,20646308459.585293
2034,172259534217.27255,169574293133.1253,130097119995.9301,230141108611.3742,4139432968.65477,5851811234.287674,-13286723366.960634,20219039842.902077
2035,178379792200.8652,177036456727.63208,128697980888.62645,236783681881.5617,6120257983.592632,5071430144.11892,-9737803272.366869,23384236859.91687
2036,182113384387.91324,179528069660.88214,128549615817.2025,249250113313.90546,3733592187.0480547,2837582780.4457016,-14990050390.991663,24891259693.725925
2037,185081348681.39587,181617074632.9076,133152450617.01027,246781109026.73743,2967964293.482603,2955454246.100382,-15846931912.100903,24357875407.96256
2038,186833085634.20874,181316518399.8062,129600318632.4149,258090719798.45374,1751736952.812889,1391440576.7742264,-17011121842.68532,20496502084.16518
2039,188511007335.8675,183969160946.1827,130668437624.77783,262792833730.53506,1677921701.6587708,1017173516.8647567,-17062952432.229824,24909248957.7838
2040,186004530308.87958,179350902519.04236,122123143022.17151,264689690316.97845,-2506477026.987891,-3649654855.8586125,-20136924118.37487,16241224736.72486
2041,182727498380.95523,177559240021.50925,124873956793.21304,260907553932.43207,-3277031927.924399,-4153790372.107319,-20963507947.674,20623487359.592827
2042,179042788293.60117,173432099548.05774,111373767659.4259,271055830190.68512,-3684710087.3540635,-3611007640.431175,-19539027264.611805,12702619905.077906
2043,172257187572.9924,168309938473.08508,104885716943.68335,273098714438.31268,-6785600720.608748,-5981766345.146643,-28048908200.53441,15808977052.476414
2044,167448099670.65717,162392200110.26404,94969073807.38199,272593373500.58582,-4809087902.335254,-6334655449.311215,-19877426662.827488,12103606836.23149
2045,159245138968.18887,151857582731.74817,80854707271.38037,269075529437.55878,-8202960702.468283,-9112127324.13313,-24500423684.930233,10914479792.357887
2046,150663030885.34332,141218526080.3792,69873923617.31367,266772859357.45374,-8582108082.845595,-9281458098.914555,-27638295432.279205,10777952848.960918
2047,139924868152.14548,128724570142.3877,52765901798.43497,263248339780.69193,-10738162733.197788,-11790118113.465988,-26022619338.815945,3168763845.430308
2048,126401543141.80449,112615966327.41837,39432776609.971634,260427291637.4251,-13644762177.212275,-15309831600.199108,-27407101947.177635,2596911693.324746
2049,112409954003.642,94970503170.82822,23583254649.049927,248410404605.4981,-14549059680.90994,-16211120719.172987,-26046670172.796314,1581282019.2153828
