simulation,depletion_year
0,2058
1,2056
2,2051
3,2051
4,2054
5,2063
6,2058
7,2058
8,2061
9,2058
10,2051
11,2055
12,2057
13,2051
14,2055
15,2064
16,2059
17,2057
18,2053
19,2050
20,2053
21,2055
22,2054
23,2051
24,2056
25,2054
26,2053
27,2058
28,2052
29,2053
30,2054
31,2055
32,2060
33,2069
34,2050
35,2057
36,2053
37,2054
38,2055
39,2054
40,2056
41,2056
42,2054
43,2049
44,2052
45,2057
46,2056
47,2053
48,2055
49,2054
50,2058
51,2060
52,2055
53,2059
54,2056
55,2056
56,2055
57,2052
58,2050
59,2056
60,2062
61,2051
62,2057
63,2051
64,2049
65,2060
66,2053
67,2061
68,2047
69,2055
70,2053
71,2051
72,2054
73,2055
74,2059
75,2054
76,2052
77,2075
78,2052
79,2061
80,2057
81,2054
82,2055
83,2052
84,2054
85,2052
86,2055
87,2058
88,2055
89,2058
90,2059
91,2049
92,2054
93,2051
94,2051
95,2053
96,2055
97,2048
98,2053
99,2055
