year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96861564351.53514,96845818052.82356,88127631109.0196,106432583118.04109,7811564351.535142,7795818052.82356,-922368890.9803784,17382583118.041084
2024,104755097744.98816,104518447971.9339,89768019789.06815,118546543975.10136,7893533393.4530115,7798552362.032049,-2597363304.366796,18909314410.808167
2025,112639886883.2885,111958335726.61618,95890554110.89517,129922799508.4787,7884789138.300353,7950777975.18215,-2836571796.070909,18388745126.343403
2026,120399825125.0046,119370305751.0345,99899928710.9686,144466663298.12247,7759938241.716078,7943786130.093233,-4884720503.561057,19908899830.86615
2027,127810878820.00836,126766574333.55731,103088868966.85336,156950744938.05322,7411053695.003776,7279576277.310038,-4643315686.740228,19950793881.69414
2028,135511784434.001,134074095315.30618,106537342641.92387,168737990258.08655,7700905613.992627,7757221671.838179,-6001338396.726198,21498315573.275097
2029,142029975437.72836,140827684416.22357,110503883442.79402,177737560007.97403,6518191003.727369,6452032129.260765,-7762437975.059631,20927459248.966194
2030,148427482695.774,147311399969.40335,113195373638.63069,187485777604.6934,6397507258.045632,6368413121.917334,-8365687505.428902,21142557001.457554
2031,155369928217.5821,154057415084.24704,116630011372.95584,201588480988.35312,6942445521.808086,6980086741.276581,-8286861206.692838,22000703976.38108
2032,161922422641.50037,160255512936.31357,119499956546.66776,212964099749.39505,6552494423.918299,6483924705.914383,-10644138539.333023,23522772841.60953
2033,167320006483.9636,164696969513.4038,121511352416.9384,224049573379.87045,5397583842.463236,5580730601.556093,-12066657413.630026,23192843169.437107
2034,172350465980.33994,169122409061.31567,121463515837.64423,235191592999.9962,5030459496.376343,4723862796.827007,-12675658617.363316,22545967941.634285
2035,176534211517.66443,173539678942.86395,123208943446.34985,241543787021.0123,4183745537.324506,4006024623.919447,-14603997216.61552,22420717371.086143
2036,180992140309.31473,177414946369.95178,120171883388.46616,252449045163.88562,4457928791.650266,4016185607.3348994,-11950746148.740568,23371373294.020454
2037,183503503386.84927,179167149054.61395,120413170561.17082,257708930427.43985,2511363077.5345597,1837539044.7428355,-17198607218.06301,23395116816.32301
2038,185738137349.9982,181956510710.65567,118185185792.22008,268887699689.94516,2234633963.148923,1878115676.7033806,-17205467398.26051,22624428703.166172
2039,186619181038.48398,181872167656.90887,114637327182.05035,271932071277.20547,881043688.4857681,460610462.7238611,-18723618091.09168,21577182459.057056
2040,185929825291.05334,181136723911.9866,112105380624.72234,276582607936.93884,-689355747.4306419,-1033247156.5735683,-20126416861.926346,18650143513.922745
2041,184517464795.8046,178353944920.7644,109866688062.74582,285204002928.9693,-1412360495.2487261,-2404309154.786154,-21118696138.04398,19882724450.50974
