year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10311231456.745358,10311231456.745358,2651540206.87046,2651540206.87046,7659691249.874897,7659691249.874897,96709691249.8749,96709691249.8749,36.47302462142133,2100000000000000.0,2100000000000000.0
2024,10729306036.376905,10518927486.644024,2991457123.871422,2932801101.8347273,7737848912.505483,7586126384.809297,104447540162.38037,102399549178.80429,34.91527233631503,2186977799999999.8,2139899999999999.8
2025,11100469735.877289,10669424967.202316,3362547973.580077,3231976137.62022,7737921762.297213,7437448829.582096,112185461924.67758,107829163710.76277,33.363230147534416,2277558046520399.5,2180558099999999.5
2026,11474028822.46237,10812233626.642817,3766769249.600578,3549510792.983636,7707259572.861792,7262722833.659181,119892721497.53937,112977589216.75993,31.82905921573311,2371889945691181.0,2221988703899999.2
2027,11849105817.785925,10946742212.265686,4206164845.5532637,3885846153.677902,7642940972.232661,7060896058.587784,127535662469.77203,117823238427.96027,30.321127952130098,2470128883461818.5,2264206489274099.0
2028,12114585768.754734,10972553579.0882,4675713742.026068,4234937994.098137,7438872026.728666,6737615584.990063,134974534496.5007,122250594435.9315,28.867150972765476,2572436681557039.5,2307226412570306.5
2029,12373041582.854918,10986906836.17491,5178415513.720413,4598284781.252735,7194626069.134503,6388622054.922174,142169160565.6352,126242146011.71774,27.45418172584886,2678981864033769.0,2351063714409142.0
2030,12623232808.288635,10989283808.26877,5715957797.838782,4976085241.436124,6907275010.449852,6013198566.832646,149076435576.08505,129780008382.2422,26.080744618592394,2789939934878319.5,2395733924982915.5
2031,12863759786.023184,10979095114.673355,6216876611.14029,5306044326.485249,6646883174.882893,5673050788.188107,155723318750.96796,132908353123.71968,25.048481495019637,2903214620967106.5,2439815429202601.0
2032,13095360597.254026,10957611938.253626,6746414534.174623,5645097887.230453,6348946063.079404,5312514051.023173,162072264814.04736,135614821035.06209,24.023466686349387,3018717504990680.0,2483244143842407.5
2033,13296273828.881424,10907575630.197395,7525254294.843468,6173329566.9030485,5771019534.037955,4734246063.294347,167843284348.08533,137689952960.41403,22.304001668501307,3136351130222557.5,2525955943116497.0
2034,13421158642.201283,10794141837.729969,8343651067.072455,6710490164.33766,5077507575.128828,4083651673.392309,172920791923.21414,139073801634.58252,20.724835031228963,3256008947634718.0,2567886811772230.5
2035,13519589961.673414,10660104421.441753,9217110793.16585,7267628958.991299,4302479168.507566,3392475462.4504547,177223271091.7217,139739339810.08038,19.227638146991385,3377575297703607.5,2608973000760586.0
2036,13588908756.91893,10504668449.443514,10148297649.225107,7844964157.044473,3440611107.6938224,2659704292.399041,180663882199.41553,139659057047.37982,17.802383064041333,3500925428399838.0,2649151184972299.0
2037,13626290103.903048,10327024947.542686,11139958203.275541,8442696097.219967,2486331900.6275063,1884328850.3227196,183150214100.04303,138804973014.42056,16.44083494372451,3625925550709803.0,2688358622509889.0
2038,13628735591.890585,10126351295.893501,12190710346.18854,9057877356.241522,1438025245.7020462,1068473939.6519794,184588239345.7451,137151780816.5349,15.141713165505333,3752432932877891.5,2726533314949529.5
2039,13593190724.16697,9901902878.03859,13290795620.821407,9681624430.91883,302395103.345563,220278447.1197586,184890634449.09064,134682808659.40886,13.911178813060696,3880296034384485.0,2763614168032843.5
2040,13516791891.623465,9653186733.627075,14442386005.595083,10314211397.863508,-925594113.9716191,-661024664.236433,183965040335.11902,131380944609.69382,12.737856491569305,4009354680488112.5,2799541152217270.0
2041,13396468394.667925,9379662937.957417,15577755222.343004,10906911359.843147,-2181286827.6750803,-1527248421.8857307,181783753507.44394,127277599234.67682,11.669444725047,4140252092096688.0,2834255462504764.0
2042,13226547782.866089,9079109243.72987,16764278337.156406,11507516315.97369,-3537730554.2903185,-2428407072.24382,178246022953.15363,122353552961.75308,10.632490070156406,4272889208119097.5,2867699676962320.5
2043,13009809444.859867,8755228805.589142,17999304216.191505,12113015753.387877,-4989494771.331638,-3357786947.7987347,173256528181.822,116596676740.19447,9.625734756233902,4407160478595033.0,2899817913344299.0
2044,12884738386.06145,8501038792.565033,19327850869.192234,12752048593.680416,-6443112483.130786,-4251009801.115383,166813415698.6912,110059457591.23212,8.630727587234473,4542953907261503.0,2930555983225748.5
2045,12712911713.547525,8223207558.199842,20715727576.374176,13399741256.608877,-8002815862.826652,-5176533698.409035,158810599835.86453,102724895312.60283,7.6661849915898905,4680151115260800.0,2959861543058006.0
2046,12491160486.635841,7921343341.5108185,22165099651.215816,14056129110.175995,-9673939164.579977,-6134785768.665176,149136660671.28455,94575895910.35721,6.728445304467828,4818627426459137.0,2987684241562751.5
2047,12215931163.65212,7594906899.624296,23678194566.975796,14721242357.885654,-11462263403.323675,-7126335458.261358,137674397267.96088,85595131120.52022,5.81439589401705,4958251974768217.0,3013975862888503.5
2048,11883486008.683966,7243351571.78376,25257306568.41237,15395108059.844007,-13373820559.728403,-8151756488.060247,124300576708.23247,75765038728.13605,4.921371024719117,5098887833780542.0,3038690464964189.0
2049,11515975768.212751,6881708563.707141,26426239556.012993,15791773334.671999,-14910263787.800243,-8910064770.964859,109390312920.43222,65369384962.501854,4.139458158190415,5240392168943620.0,3061784512497917.0
2050,11098371480.768272,6502114600.268078,27619987868.560837,16181502546.620905,-16521616387.792566,-9679387946.352827,92868696532.63965,54408244369.825455,3.362372821254923,5382616412408749.0,3083217004085402.0
2051,10628207716.29205,6104572055.117247,28649725772.260815,16455673430.99807,-18021518055.968765,-10351101375.880823,74847178476.67088,42990314672.96765,2.612491968392217,5527053541219325.0,3103874558012774.0
2052,10098055235.191608,5686339177.273691,29685296180.861214,16716155609.244026,-19587240945.669605,-11029816431.970335,55259937531.00128,31117550894.468548,1.8615255577819911,5673675217560791.0,3123739355184055.5
2053,9520685670.29377,5256093401.697387,30737513018.264668,16969286137.02498,-21216827347.970898,-11713192735.327595,34043110183.030384,18794210102.386665,1.1075427658314934,5822450329115670.0,3142794165250678.0
2054,8893985587.933487,4813833853.04408,31815284740.566,17219894637.130676,-22921299152.63252,-12406060784.086597,11121811030.397865,6019635394.723859,0.3495744614919956,5973344951845031.0,3161022371409132.0
2055,8215494776.433509,4359415133.252083,32919968659.37056,17468431721.424004,-24704473882.937054,-13109016588.17192,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5
2056,7868772808.504798,4093561676.4783144,34024073163.715504,17700300335.28768,-26155300355.21071,-13606738658.809368,0.0,0.0,0.0,6281342775947411.0,3194935716023032.5
2057,7847044237.426676,4002213578.00459,35153007113.57718,17929023734.39247,-27305962876.15051,-13926810156.387882,0.0,0.0,0.0,6438363782660543.0,3210590901031545.0
2058,7821393618.092165,3910912783.9982615,36270772505.66472,18136387810.705532,-28449378887.57255,-14225475026.707272,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0
2059,7789640003.953655,3818661862.8480887,37379420655.7838,18324257352.22037,-29589780651.830143,-14505595489.372282,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0
2060,7751371314.38865,3725393789.4996853,38480251587.279205,18494029568.101227,-30728880272.890556,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0
2061,7706094689.418959,3631013086.850941,38911433433.107506,18334568898.78883,-31205338743.68855,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5
2062,7655387967.689451,3536392871.792754,39319640848.52517,18163638238.199387,-31664252880.835716,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0
2063,7598943935.531667,3441488873.9322677,39707069991.16333,17982951414.087185,-32108126055.631664,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0
2064,7536513092.073881,3346288767.959124,40075710374.27169,17794024617.88939,-32539197282.197815,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5
2065,7467712178.438597,3250725940.9620333,40427338374.061264,17598187294.37008,-32959626195.62267,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0
2066,7477281843.974076,3191070250.8598185,40822162586.67205,17421623435.402966,-33344880742.697975,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5
2067,7487824827.380432,3132911437.984845,41210658082.04892,17242569778.078228,-33722833254.66849,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0
2068,7499362510.660693,3076214522.735862,41594713742.823074,17062018578.621893,-34095351232.162384,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5
2069,7509783873.676159,3020087580.904511,41973981536.45151,16879993151.82674,-34464197662.77535,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0
2070,7519066059.297624,2964529849.4663877,42350061858.678925,16697289466.097525,-34830995799.3813,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5
2071,7543188230.104102,2915725939.419271,42377340431.39922,16380435827.693314,-34834152201.29512,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5
2072,7567761660.148653,2867867151.2773805,42370330036.539154,16056594163.165693,-34802568376.3905,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0
2073,7592831241.696972,2820948510.5751038,42328787908.50719,15726324924.649014,-34735956666.81021,-12905376414.07391,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5
2074,7613644795.184413,2773216986.295911,42286468311.44284,15402550994.48944,-34672823516.25843,-12629334008.193531,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5
2075,7637405641.284169,2727325204.5855594,42257150468.342674,15090070759.538347,-34619744827.05851,-12362745554.952787,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0
2076,7664177923.620571,2683221189.631971,42242338701.88297,14789001434.214937,-34578160778.262405,-12105780244.582966,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0
2077,7694067871.061477,2640868265.6625524,42238826968.390945,14497815666.427979,-34544759097.32947,-11856947400.765427,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0
2078,7727181729.064052,2600229488.900256,42243550902.01248,14215134394.746078,-34516369172.94843,-11614904905.845821,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0
2079,7763437385.213393,2561205560.063579,42253360575.077675,13939642540.6071,-34489923189.86428,-11378436980.54352,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5
2080,7802939238.153118,2523762218.996824,42265420422.80335,13670216821.826122,-34462481184.65023,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0
2081,7845340425.863225,2487721909.837517,42275862079.054756,13405484356.62836,-34430521653.19153,-10917762446.790844,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0
2082,7890757606.549971,2453062247.151516,42282035558.94228,13144550920.720572,-34391277952.39232,-10691488673.569056,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5
2083,7939308753.319341,2419760515.9550023,42281360312.71338,12886608825.081358,-34342051559.394043,-10466848309.126356,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0
2084,8023798025.446949,2397560144.9073844,42295045571.46997,12638019460.06105,-34271247546.02302,-10240459315.153666,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5
2085,8104120338.169779,2374079358.251086,42293891578.42051,12389877097.890406,-34189771240.250736,-10015797739.63932,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5
2086,8180521131.137585,2349471329.9979157,42275855667.05145,12141758360.943811,-34095334535.913868,-9792287030.945896,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0
2087,8253278366.246605,2323889643.284666,42238935018.82198,11893288857.80144,-33985656652.57538,-9569399214.516773,0.0,0.0,0.0,1.2580499377623994e+16,3463396283488457.5
2088,8322704571.62444,2297488331.5215673,42181160698.79075,11644138474.63922,-33858456127.16631,-9346650143.117653,0.0,0.0,0.0,1.2857773583906828e+16,3470323076055434.5
2089,8394734260.6147,2271933506.664071,41976859990.48684,11360530513.082638,-33582125729.872147,-9088597006.418568,0.0,0.0,0.0,1.3141158913696134e+16,3477263722207545.5
2090,8462224219.855435,2245292989.7614465,41789172779.45399,11087975720.317278,-33326948559.59855,-8842682730.555832,0.0,0.0,0.0,1.3430790056153996e+16,3484218249651960.5
