year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96850072230.8643,96956543756.6287,87409809850.93379,106541421883.49283,7800072230.864299,7906543756.628699,-1640190149.0662222,17491421883.492825
2024,104928983569.65416,104937037750.38138,90992282142.29668,118842927342.04759,8078911338.789854,8108075556.096067,-2626876264.15952,18586504276.738445
2025,112516479704.60861,111649554285.67418,94409593661.32314,132272226530.66782,7587496134.954453,7536943378.251769,-3483191601.8994894,19240712891.435356
2026,120031237895.47534,119019852419.7019,98650718355.53549,143967640371.94382,7514758190.866734,7280564444.117854,-4626687568.875498,20337109121.736553
2027,127783868391.5849,127013528220.47803,102923726093.05513,157199777069.87717,7752630496.109576,7817953942.466737,-4839193046.351943,21005106406.46167
2028,135088750248.78192,134185555057.21834,106461554631.21254,168770706912.69904,7304881857.197013,7311442227.143925,-6505793788.018694,20899760514.76608
2029,142382247515.0563,140922251400.4756,109318858714.96442,180896821583.1233,7293497266.2743635,6579666615.543831,-6841286434.332421,22729151440.220333
2030,149651623183.3248,148852542717.214,111954609596.73071,192674517956.94833,7269375668.268521,7321321803.435823,-8593503635.759087,24093530721.587093
2031,156182725635.32706,154267504886.54095,116284294552.92493,203406577967.99805,6531102452.002285,6817527553.987043,-9393625148.248495,21954559923.634933
2032,162678473827.79758,161004869208.70972,118898025868.70659,215522139838.40558,6495748192.470474,6084019900.047048,-9322948646.136118,23631278192.2765
2033,167908203254.78107,163699384870.70532,120228654616.19946,228080520039.4501,5229729426.983462,4982141204.215286,-12287728842.471657,23520904748.548077
2034,173072406170.1513,169149249773.0183,121467064686.17384,237350993938.2309,5164202915.370275,5183940242.712258,-13825278086.22321,24132453889.091522
2035,177512754215.01904,173411429618.766,121523869227.68735,248965626933.98254,4440348044.867719,4115224915.5265856,-14438580728.287329,24618051181.14088
2036,180959294922.26538,176299977185.80295,121601638780.69835,253051214497.65955,3446540707.24635,3218457558.7147183,-15175159746.909016,23568400122.622044
2037,182925898135.72675,176535735321.2474,118524746990.37126,266839237552.52176,1966603213.4613724,1528889184.2146013,-17830803610.00888,22685862769.476017
2038,184944656525.06757,179259439669.5865,116903408716.15083,271748818874.29382,2018758389.340808,1596164257.8495855,-16254136409.335306,23346385669.732243
2039,185094461151.24182,178138205052.75745,113080871660.63812,278482689561.2233,149804626.17425644,-451715083.27404594,-20258642739.971413,22110522724.165684
2040,183763907132.28275,178978785098.91382,107414559736.59265,279142574673.2962,-1330554018.959057,-1909744080.8071444,-21072647487.61433,19695266199.522305
2041,181161149157.97607,174043942308.0135,100923416488.29109,287558898029.92126,-2602757974.3066716,-2758743394.7234507,-22601354667.88996,17779546298.219357
2042,178033452172.11053,169461151075.7447,93149990827.34944,285253267163.84064,-3127696985.8655663,-3562628585.878955,-22055210811.013977,18375403032.472248
2043,173385666148.97052,165094759924.7099,84213500084.48756,291065224934.6633,-4647786023.139969,-5346098003.352743,-23967655873.067635,17335583992.39738
2044,166806334682.9456,157205677580.49548,72631131968.2319,287129041314.1436,-6579331466.024957,-7130169811.764443,-25786623795.899063,15208400518.112427
2045,158844315751.73816,149434867959.54083,62669345472.66246,288846782632.1728,-7962018931.207437,-8898914824.34119,-26873612335.93177,13281248206.727032
2046,148932624833.77124,138015093404.90207,48937382510.31029,287543861723.6944,-9917837788.40987,-10546755845.5663,-27069850948.511963,11339836613.026024
2047,136976067483.66537,125508798428.59888,34534854534.83125,276158890693.3219,-11996344898.679605,-13046122426.340916,-28571582194.862335,8235035790.519541
2048,122854397850.28828,111588635494.84143,18194907271.673615,267434685105.31473,-14303190718.623682,-14648310756.304482,-30238756606.387905,2406091104.71402
2049,108915656693.26143,96496892764.91133,0.0,263638924725.24057,-14546358268.231337,-16103799576.969788,-27400674146.316372,2115338305.3130064
2050,93483036883.4074,78868734712.19862,0.0,248740042255.6145,-16968513995.809492,-18385310976.76921,-29203281408.361855,-1433440340.2046337
2051,78548398316.40443,61546294419.36311,0.0,238902142539.54947,-17853968158.184414,-19616765949.397,-28067333944.73468,-3556228855.221144
2052,64212850826.12704,41491844440.47873,0.0,220686518977.1578,-19499098537.420692,-21463139982.43673,-28978092235.281326,-5963720872.503002
2053,51300131962.865776,19194399144.512383,0.0,201911635850.50977,-21139926440.33941,-22849316422.511734,-29248368152.492287,-10429794639.713242
2054,40034311635.20928,0.0,0.0,183328882024.50696,-22465688616.952385,-23927000713.6596,-28603329677.77786,-11445799057.751324
2055,30612300822.065475,0.0,0.0,158992306412.0646,-23966650387.1996,-25033034424.397064,-28484309607.432953,-16386040187.963097
2056,23288258202.974407,0.0,0.0,138789366650.8292,-25331657090.711136,-26155300355.21071,-28237047281.657795,-18377344789.966515
2057,17808416549.358532,0.0,0.0,118207930678.72092,-26374571955.95414,-27305962876.15051,-28393186277.699585,-19986415054.22234
2058,13312036450.000984,0.0,0.0,91675472400.2768,-27974866675.71183,-28449378887.57255,-28716651824.221935,-24120411756.07877
2059,9828434273.185637,0.0,0.0,60068706152.58776,-29238108025.73493,-29589780651.830143,-29611462786.721672,-27046293121.39058
2060,7277063227.974095,0.0,0.0,27901906797.785744,-30399996885.76376,-30728880272.890556,-30728880272.890556,-29518025570.35285
2061,5563926909.032949,0.0,0.0,381287756.2619335,-30968130039.10069,-31205338743.68855,-31205338743.68855,-31205338743.68855
2062,4347979730.340655,0.0,0.0,0.0,-31407636921.97734,-31664252880.835716,-31664252880.835716,-31664252880.835716
2063,3277866349.1676035,0.0,0.0,0.0,-32008536410.336014,-32108126055.631664,-32108126055.631664,-32108126055.631664
2064,2474568832.487569,0.0,0.0,0.0,-32497316895.616962,-32539197282.197815,-32539197282.197815,-32539197282.197815
2065,1824263462.2003515,0.0,0.0,0.0,-32877093661.577095,-32959626195.62267,-32959626195.62267,-32959626195.62267
2066,1302225089.303205,0.0,0.0,0.0,-33312016643.1036,-33344880742.697975,-33344880742.697975,-33344880742.697975
2067,966687045.0808398,0.0,0.0,0.0,-33681545479.18132,-33722833254.66849,-33722833254.66849,-33722833254.66849
