year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96574090881.27094,96689371911.27182,87671499332.97777,104347475940.58365,7524090881.270938,7639371911.271814,-1378500667.0222344,15297475940.583662
2024,106195343247.72662,106160979543.15012,92825891610.10988,119816023064.48207,9621252366.455708,9556992158.279919,-87564088.60424677,18768452147.864674
2025,112755751184.52313,112173652672.2696,97684235979.69781,130396372321.41602,6560407936.796501,6588586449.60562,-4743636673.542972,17593331325.027927
2026,121052181647.08148,120859789477.62885,101914056239.37401,144374799387.05133,8296430462.558342,8418791439.428507,-4122805775.9741344,21644299198.962044
2027,129824232390.05429,128449816302.59705,106149336425.76694,162719290622.65533,8772050742.972784,9284148064.053034,-4281560623.035582,21596972278.080723
2028,137949949026.26627,135175334509.72256,111054980496.62935,174925966981.13556,8125716636.212007,7402375837.325129,-6759248370.090045,22513336821.84806
2029,144597934762.21786,143034967565.16992,111278507585.44034,182940717633.1016,6647985735.951593,5597582170.850462,-6865593496.685335,22141402771.70111
2030,151994319113.5063,150587203445.5036,112414190783.598,192636756116.30212,7396384351.288418,8355296461.696451,-7934549729.887281,24527030774.214493
2031,160704844690.26126,156490074195.44678,121672621636.44995,200434862649.54883,8710525576.754982,7585700638.670187,-5178096375.800277,25457023625.58297
2032,166918059240.54785,166186579782.4998,123636730365.6234,220341813763.48477,6213214550.286574,5699916076.514236,-10245771620.552368,20995824947.183388
2033,172461679258.54132,167873648938.4745,126404862887.2451,227245548090.4543,5543620017.99346,5163255425.814546,-9222497013.52189,22376202298.543385
2034,178976657031.39374,172367060641.98303,130921964232.89624,235190147766.56973,6514977772.852427,6106013936.038469,-11554767499.335747,29299133498.106068
2035,182906137066.74457,178967371785.23547,136718734919.71747,247463615947.3933,3929480035.350822,4630018659.654669,-12980262630.4783,22400671514.79634
2036,185226772481.61368,178301538956.46692,134612032911.73764,254409481714.47876,2320635414.869089,1811046589.2519312,-15259724630.229525,21791038592.36805
2037,187275439451.69785,180681404455.6967,137426393180.96066,252398192084.0031,2048666970.0841918,2064020966.2680774,-21249419408.801437,26880503413.4568
2038,190107593192.4775,181617138735.14316,135266056740.81621,262771652916.6744,2832153740.779643,3593420023.289598,-16903347357.789661,20753752447.170773
2039,190452729889.36215,182335847060.8593,127657234240.10315,269128986294.63766,345136696.8847313,1047690581.7771581,-19798289844.20947,17973213144.20741
2040,189803891925.49292,181115263531.0014,131696709107.37521,277105640529.11194,-648837963.8692734,291526847.5932183,-26673738278.248047,20986493986.95266
2041,189114399253.8545,179382180344.91962,130827318611.80923,285154524243.15607,-689492671.6384584,-764519388.3309102,-19411336852.46738,16336951796.187078
2042,187535101912.23798,181007504022.21094,121386201041.82722,286641178224.4772,-1579297341.6165292,-3961847059.824766,-20313349516.026253,17177058029.221752
2043,182287894892.65872,176852166698.11237,108194960241.39406,282134816761.24396,-5247207019.579276,-4173342332.6325936,-25783040520.811813,16664676607.631195
2044,177124588088.6018,169015904213.64215,101216067260.93011,294356721535.3438,-5163306804.056885,-6540571124.136183,-22903775747.969944,15109121051.395819
2045,168329705103.67548,160144040207.17053,81496727413.08018,289358685272.15656,-8794882984.926317,-8291121808.782972,-27014423657.749325,9069743136.155901
2046,159271286779.41785,148071568241.37512,70989101322.22421,280053793395.0109,-9058418324.257637,-10068328189.981522,-27654326951.189713,14178067210.900242
