simulation,depletion_year
0,2057
1,2054
2,2053
3,2055
4,2056
5,2059
6,2058
7,2051
8,2057
9,2053
10,2060
11,2055
12,2058
13,2054
14,2054
15,2053
16,2051
17,2055
18,2056
19,2055
20,2052
21,2061
22,2054
23,2055
24,2054
25,2051
26,2049
27,2055
28,2049
29,2052
30,2059
31,2054
32,2054
33,2054
34,2055
35,2052
36,2068
37,2058
38,2057
39,2054
40,2055
41,2053
42,2056
43,2060
44,2057
45,2053
46,2053
47,2056
48,2057
49,2053
50,2047
51,2051
52,2052
53,2056
54,2054
55,2056
56,2060
57,2055
58,2052
59,2060
60,2057
61,2052
62,2053
63,2056
64,2054
65,2055
66,2050
67,2058
68,2053
69,2057
70,2048
71,2057
72,2053
73,2056
74,2052
75,2054
76,2053
77,2052
78,2055
79,2063
80,2057
81,2052
82,2054
83,2052
84,2054
85,2066
86,2052
87,2053
88,2061
89,2057
90,2057
91,2051
92,2054
93,2051
94,2051
95,2051
96,2051
97,2053
98,2055
99,2052
100,2058
101,2053
102,2053
103,2056
104,2060
105,2055
106,2055
107,2050
108,2057
109,2054
110,2053
111,2056
112,2054
113,2052
114,2052
115,2049
116,2052
117,2051
118,2058
119,2051
120,2054
121,2054
122,2052
123,2054
124,2059
125,2055
126,2051
127,2055
128,2053
129,2061
130,2053
131,2054
132,2058
133,2051
134,2054
135,2052
136,2051
137,2060
138,2054
139,2051
140,2048
141,2054
142,2057
143,2060
144,2051
145,2059
146,2057
147,2051
148,2052
149,2054
150,2056
151,2057
152,2052
153,2051
154,2053
155,2048
156,2052
157,2059
158,2058
159,2051
160,2063
161,2053
162,2053
163,2055
164,2048
165,2051
166,2052
167,2052
168,2054
169,2054
170,2052
171,2053
172,2055
173,2052
174,2055
175,2052
176,2052
177,2057
178,2052
179,2053
180,2050
181,2056
182,2050
183,2057
184,2056
185,2054
186,2053
187,2052
188,2054
189,2056
190,2052
191,2060
192,2055
193,2057
194,2049
195,2058
196,2051
197,2054
198,2054
199,2054
200,2055
201,2052
202,2053
203,2052
204,2052
205,2056
206,2057
207,2073
208,2052
209,2059
210,2052
211,2056
212,2055
213,2051
214,2054
215,2055
216,2051
217,2056
218,2059
219,2056
220,2054
221,2054
222,2056
223,2056
224,2050
225,2053
226,2052
227,2051
228,2055
229,2055
230,2052
231,2052
232,2051
233,2053
234,2054
235,2055
236,2056
237,2053
238,2064
239,2053
240,2059
241,2054
242,2053
243,2054
244,2053
245,2056
246,2056
247,2054
248,2052
249,2059
250,2053
251,2052
252,2052
253,2053
254,2058
255,2054
256,2054
257,2055
258,2053
259,2051
260,2060
261,2056
262,2051
263,2055
264,2053
265,2052
266,2056
267,2052
268,2055
269,2059
270,2052
271,2057
272,2053
273,2052
274,2056
275,2054
276,2061
277,2049
278,2054
279,2053
280,2053
281,2054
282,2053
283,2054
284,2056
285,2054
286,2055
287,2058
288,2054
289,2053
290,2055
291,2051
292,2053
293,2058
294,2052
295,2054
296,2062
297,2056
298,2063
299,2056
300,2056
301,2055
302,2053
303,2050
304,2053
305,2054
306,2052
307,2049
308,2052
309,2053
310,2057
311,2060
312,2058
313,2054
314,2058
315,2054
316,2062
317,2056
318,2051
319,2060
320,2054
321,2054
322,2052
323,2050
324,2059
325,2052
326,2053
327,2055
328,2055
329,2051
330,2050
331,2056
332,2059
333,2053
334,2056
335,2053
336,2054
337,2054
338,2051
339,2058
340,2052
341,2054
342,2060
343,2050
344,2057
345,2061
346,2052
347,2054
348,2052
349,2052
350,2056
351,2054
352,2052
353,2059
354,2050
355,2058
356,2053
357,2054
358,2054
359,2055
360,2054
361,2053
362,2057
363,2050
364,2059
365,2052
366,2051
367,2055
368,2054
369,2055
370,2056
371,2054
372,2059
373,2058
374,2053
375,2059
376,2051
377,2053
378,2059
379,2056
380,2058
381,2057
382,2058
383,2053
384,2050
385,2056
386,2053
387,2051
388,2052
389,2053
390,2052
391,2051
392,2052
393,2054
394,2053
395,2051
396,2052
397,2053
398,2056
399,2055
400,2051
401,2052
402,2054
403,2057
404,2054
405,2051
406,2060
407,2053
408,2053
409,2054
410,2051
411,2053
412,2056
413,2057
414,2056
415,2050
416,2052
417,2055
418,2056
419,2052
420,2056
421,2051
422,2051
423,2052
424,2054
425,2052
426,2052
427,2051
428,2052
429,2055
430,2053
431,2051
432,2056
433,2058
434,2052
435,2058
436,2057
437,2055
438,2051
439,2054
440,2051
441,2052
442,2051
443,2054
444,2056
445,2053
446,2053
447,2053
448,2054
449,2051
450,2054
451,2053
452,2054
453,2053
454,2060
455,2052
456,2054
457,2052
458,2058
459,2052
460,2053
461,2055
462,2055
463,2053
464,2052
465,2053
466,2052
467,2055
468,2052
469,2052
470,2051
471,2054
472,2054
473,2054
474,2058
475,2052
476,2053
477,2055
478,2053
479,2053
480,2053
481,2050
482,2053
483,2056
484,2056
485,2055
486,2053
487,2055
488,2054
489,2051
490,2058
491,2053
492,2052
493,2055
494,2057
495,2052
496,2054
497,2055
498,2057
499,2055
500,2056
501,2052
502,2051
503,2053
504,2058
505,2058
506,2052
507,2054
508,2048
509,2060
510,2055
511,2057
512,2059
513,2050
514,2053
515,2053
516,2053
517,2052
518,2060
519,2058
520,2051
521,2051
522,2057
523,2055
524,2053
525,2054
526,2061
527,2052
528,2050
529,2051
530,2052
531,2054
532,2054
533,2053
534,2051
535,2054
536,2055
537,2054
538,2056
539,2054
540,2057
541,2055
542,2057
543,2052
544,2053
545,2053
546,2050
547,2064
548,2050
549,2057
550,2056
551,2062
552,2059
553,2051
554,2054
555,2052
556,2058
557,2055
558,2052
559,2052
560,2051
561,2055
562,2054
563,2052
564,2055
565,2060
566,2049
567,2054
568,2056
569,2051
570,2053
571,2054
572,2050
573,2052
574,2051
575,2052
576,2055
577,2058
578,2050
579,2058
580,2055
581,2053
582,2055
583,2054
584,2058
585,2055
586,2060
587,2056
588,2053
589,2053
590,2056
591,2053
592,2052
593,2056
594,2058
595,2052
596,2053
597,2054
598,2057
599,2053
600,2052
601,2056
602,2053
