simulation,depletion_year
0,2053
1,2056
2,2054
3,2053
4,2056
5,2049
6,2055
7,2050
8,2051
9,2058
10,2062
11,2053
12,2050
13,2059
14,2056
15,2055
16,2059
17,2056
18,2057
19,2054
20,2054
21,2056
22,2057
23,2050
24,2058
25,2056
26,2055
27,2052
28,2052
29,2053
30,2055
31,2057
32,2053
33,2053
34,2054
35,2061
36,2055
37,2054
38,2056
39,2058
40,2051
41,2057
42,2050
43,2056
44,2055
45,2052
46,2055
47,2050
48,2053
49,2054
50,2054
51,2058
52,2060
53,2053
54,2052
55,2052
56,2053
57,2053
58,2058
59,2053
60,2060
61,2063
62,2054
63,2054
64,2053
65,2053
66,2052
67,2056
68,2051
69,2056
70,2057
71,2053
72,2053
73,2054
74,2056
75,2053
76,2054
77,2059
78,2051
79,2056
80,2051
81,2048
82,2051
83,2054
84,2067
85,2055
86,2051
87,2052
88,2052
89,2052
90,2053
91,2058
92,2052
93,2055
94,2049
95,2055
96,2054
97,2051
98,2058
99,2054
100,2053
101,2056
102,2057
103,2055
104,2051
105,2055
106,2051
107,2054
108,2052
109,2052
110,2059
111,2055
112,2049
113,2054
114,2052
115,2055
116,2054
117,2053
118,2051
119,2050
120,2049
121,2056
122,2055
123,2054
124,2061
125,2052
126,2051
127,2051
128,2052
129,2055
130,2054
131,2056
132,2052
133,2051
134,2053
135,2052
136,2054
137,2055
138,2054
139,2057
140,2053
141,2051
142,2052
143,2053
144,2051
145,2059
146,2061
147,2054
148,2051
149,2053
150,2050
151,2052
152,2056
153,2054
154,2052
155,2056
156,2054
157,2058
158,2051
159,2049
160,2050
161,2058
162,2057
163,2053
164,2057
165,2063
166,2052
167,2055
168,2052
169,2054
170,2052
171,2053
172,2056
173,2054
174,2054
175,2058
176,2051
177,2057
178,2053
179,2052
180,2054
181,2054
182,2060
183,2058
184,2053
185,2055
186,2054
187,2055
188,2053
189,2053
190,2054
191,2048
192,2049
193,2051
194,2053
195,2048
196,2054
197,2054
198,2054
199,2055
