year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,17711544735.298508,17711544735.298508,2651540206.87046,2651540206.87046,15060004528.428047,15060004528.428047,104110004528.42804,104110004528.42804,39.26397354211959,2100000000000000.0,2100000000000000.0,0
2024,-3342507441.065951,-3276968079.4764223,2991457123.871422,2932801101.8347273,-6333964564.937373,-6209769181.31115,97776039963.49066,95858862709.30457,32.68508820776709,2186977799999999.8,2139899999999999.8,0
2025,17871120939.346962,17177163532.628761,3362547973.580077,3231976137.62022,14508572965.766886,13945187395.008541,112284612929.25755,107924464560.99342,33.39271701444576,2277558046520399.5,2180558099999999.5,0
2026,14980935645.912254,14116870251.555073,3766769249.600578,3549510792.983636,11214166396.311678,10567359458.571438,123498779325.56923,116375658047.78067,32.786393628615514,2371889945691181.0,2221988703899999.2,0
2027,17201562285.335636,15891584637.817522,4206164845.5532637,3885846153.677902,12995397439.782373,12005738484.13962,136494176765.35161,126099520883.92459,32.45098130418083,2470128883461818.5,2264206489274099.0,0
2028,3963975950.878853,3590295148.135814,4675713742.026068,4234937994.098137,-711737791.1472151,-644642845.9623227,135782438974.20439,122982338412.78728,29.03993838497211,2572436681557039.5,2307226412570306.5,0
2029,23083063691.923122,20497099971.60888,5178415513.720413,4598284781.252735,17904648178.20271,15898815190.356144,153687087152.4071,136469735202.89268,29.678400032829963,2678981864033769.0,2351063714409142.0,0
2030,25169221187.71917,21911321692.753902,5715957797.838782,4976085241.436124,19453263389.880386,16935236451.31778,173140350542.28748,150729094493.36942,30.29069784380708,2789939934878319.5,2395733924982915.5,0
2031,-12758636255.394442,-10889373193.496216,6216876611.14029,5306044326.485249,-18975512866.534733,-16195417519.981464,154164837675.75275,131578204532.34149,24.797795954241412,2903214620967106.5,2439815429202601.0,0
2032,18674954939.5449,15626366885.598804,6746414534.174623,5645097887.230453,11928540405.370274,9981268998.368351,166093378081.12302,138979508735.95804,24.619503773413385,3018717504990680.0,2483244143842407.5,0
