year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96808120765.09229,96828457249.10603,86398659322.97736,105126473879.71872,7758120765.092307,7778457249.106031,-2651340677.022637,16076473879.718708
2024,104504319305.22359,103316265791.94391,90203840917.42839,118063252847.52571,7696198540.131304,6911393242.818903,-1806721837.2571988,16434321937.157082
2025,112017818357.95074,111142346060.63751,94987630108.2435,129439280841.71223,7513499052.72712,7408166941.008977,-2550339619.470493,18456293618.43902
2026,120343034144.55687,120241754223.80173,100720335178.44547,141329977431.09683,8325215786.606153,8167904086.729638,-2979731458.2765465,19540930777.208218
2027,127561252825.60193,126574614338.95757,101252236260.53625,153245969988.6949,7218218681.04506,8007261403.989457,-5478267676.5916815,18052713488.082783
2028,136426972843.871,133815186982.15088,107576502903.30675,167537845452.70416,8865720018.269035,8867431471.979782,-4598415563.139966,24029680976.750202
2029,144552463117.97205,143147370129.53418,113435550040.96481,183199130418.18564,8125490274.101087,8242970217.612291,-6536763018.75001,25556467293.96038
2030,151928038854.21075,150420369101.23477,119075192360.7372,194910597990.9904,7375575736.238706,7635514893.255444,-5305203093.962997,22129735665.187954
2031,158907638282.65237,155636137035.36044,120935120792.28668,206593471714.9202,6979599428.4416065,6018347601.591251,-6878548649.42475,24294519570.01223
2032,163580576136.9147,164047277867.90988,120737032016.96208,217082221823.98322,4672937854.26232,5567163375.16847,-12815832613.000751,18440742633.513138
2033,169788051803.93802,170267300390.1253,130558631674.39476,220338549867.0454,6207475667.023355,6350563776.686054,-13804942487.602674,21882644988.38202
2034,173825031509.9628,173964383501.9744,124391813689.43156,219763476595.9278,4036979706.0247493,4102307137.1478014,-13532830592.260593,21720197202.316414
2035,178923223848.4679,177667125864.4502,127020873741.3741,238074309526.80756,5098192338.5051365,6727904424.322829,-13666249859.00745,21831494922.134483
2036,182028054744.9953,180165450999.08807,122366421898.88666,241502096289.4648,3104830896.527365,1783132069.3803496,-14799058158.59253,28397867479.624218
2037,183111490052.65616,180214660414.60666,121295838350.17233,251197676115.11456,1083435307.6608548,1012747321.9747349,-15546770776.961868,20331705059.86686
2038,184107469693.22726,180411058578.031,116786350036.2885,265485201084.02765,995979640.5710598,1774368030.0866637,-19815410456.97943,18996131755.11442
2039,184803479477.29288,188083179358.9933,115315167554.21211,266033897338.58823,696009784.0656557,1315589944.8344364,-22603132157.195503,21034488594.08289
2040,185526763277.32956,182585702478.5509,113024140666.71355,268740948995.76428,723283800.0366776,903449275.2003354,-21987549859.67049,19089901072.291653
2041,181056438231.67746,178102658410.9749,112161760537.213,269896958094.65582,-4470325045.652102,-5000007293.857752,-24875698379.386707,13459890814.375694
2042,176926470445.06528,169389286995.22034,103928635326.07231,272738113168.60327,-4129967786.6121907,-4515993031.013281,-21144335488.30613,15394456905.611723
2043,172252347830.8005,164162948376.2314,95037293715.21918,268422252186.6903,-4674122614.26475,-5902097946.75611,-21915344132.371395,22784195571.758137
2044,165005089365.80145,155786875137.8288,83420505466.27429,259635074169.57617,-7247258464.999018,-7646617307.708019,-21606918028.397366,8292697747.029884
2045,154768182900.56094,145099313839.32874,70331027186.409,256243023055.3267,-10236906465.24052,-9512121554.509323,-29365816418.760235,5787809276.867364
2046,143687040942.13876,139834688181.92136,57342853947.99606,248728950846.32455,-11081141958.42218,-11992759461.495373,-29253993019.4128,3569768493.046987
2047,132568250957.21103,127645574905.77599,46036127370.67418,239445581606.1494,-11118789984.927734,-12808705390.173954,-27439641825.73913,6304156489.227538
2048,119396805488.05753,113901596362.98761,30152499459.898968,209042440934.15176,-13337955164.115446,-15200760012.263563,-30495834329.304947,7178054711.880421
2049,105495567991.48355,101822494995.6268,13786224752.85916,197053819914.67093,-14458708039.32142,-15710828734.71316,-26951161282.447823,1597334421.0457318
2050,90173321934.53348,80834250407.96832,0.0,186410179058.80997,-16271378765.518343,-16911492489.738165,-27565136529.177097,-4707599807.111802
2051,74107762930.0516,60475034109.65066,0.0,177579680425.90228,-18356973444.82548,-19750110300.017967,-29386208884.27006,-3688809440.497994
2052,59555180122.22141,41046696391.92241,0.0,160997054736.5122,-19423042065.458984,-20653822238.215385,-27985133416.608387,-8706961759.276768
2053,45640547122.31927,19720065500.99313,0.0,158833200978.5376,-20968404209.190052,-22849316422.511734,-28556637818.05771,-8378382270.677077
2054,33449182231.0414,0.0,0.0,140825513256.1585,-23052472441.686806,-23927000713.6596,-29532392562.356403,-15840189723.725525
