simulation,depletion_year
0,2058
1,2056
2,2051
3,2063
4,2057
5,2054
6,2049
7,2061
8,2056
9,2050
10,2056
11,2053
12,2049
13,2054
14,2057
15,2057
16,2057
17,2054
18,2059
19,2051
20,2058
21,2051
22,2057
23,2061
24,2052
25,2061
26,2055
27,2055
28,2056
29,2056
30,2072
31,2052
32,2065
33,2051
34,2051
35,2055
36,2054
37,2055
38,2055
39,2052
40,2051
41,2061
42,2057
43,2054
44,2059
45,2052
46,2055
47,2051
48,2055
49,2056
50,2052
51,2068
52,2060
53,2061
54,2052
55,2050
56,2049
57,2051
58,2054
59,2061
60,2051
61,2053
62,2057
63,2053
64,2054
65,2054
66,2062
67,2051
68,2055
69,2054
70,2056
71,2057
72,2054
73,2059
74,2054
75,2051
76,2060
77,2048
78,2059
79,2058
80,2053
81,2053
82,2054
83,2053
84,2060
85,2060
86,2051
87,2062
88,2052
89,2056
90,2053
91,2055
92,2057
93,2068
94,2068
95,2052
96,2060
97,2067
98,2063
99,2056
100,2055
101,2061
102,2053
103,2050
104,2057
105,2049
106,2052
107,2047
108,2050
109,2049
110,2052
111,2056
112,2056
113,2054
114,2053
115,2050
116,2054
117,2053
118,2058
119,2050
120,2056
121,2059
122,2054
123,2056
124,2053
125,2055
126,2053
127,2063
128,2058
129,2050
130,2059
131,2055
132,2055
133,2055
134,2054
135,2055
136,2053
137,2059
138,2052
139,2053
140,2055
141,2060
142,2057
143,2052
144,2053
145,2063
146,2057
147,2055
148,2052
149,2056
150,2055
151,2055
152,2055
153,2052
154,2055
155,2057
156,2051
157,2053
158,2056
159,2050
160,2049
161,2050
162,2053
163,2054
164,2056
165,2054
166,2061
167,2051
168,2054
169,2074
170,2052
171,2054
172,2053
173,2057
174,2050
175,2063
176,2057
177,2048
178,2059
179,2063
180,2054
181,2049
182,2060
183,2060
184,2051
185,2050
186,2056
187,2062
188,2052
189,2053
190,2058
191,2057
192,2055
193,2056
194,2052
195,2053
196,2057
197,2068
198,2058
199,2051
200,2058
201,2056
202,2056
203,2056
204,2059
205,2059
206,2052
207,2056
208,2053
209,2056
210,2052
211,2049
212,2056
213,2055
214,2062
215,2053
216,2055
217,2054
218,2051
219,2057
220,2062
221,2065
222,2055
223,2056
224,2054
225,2051
226,2058
227,2053
228,2057
229,2055
230,2057
231,2054
232,2056
233,2049
234,2053
235,2054
236,2053
237,2051
238,2053
239,2058
240,2053
241,2056
242,2061
243,2050
244,2054
245,2054
246,2051
247,2058
248,2054
249,2050
250,2055
251,2056
252,2058
253,2056
254,2055
255,2052
256,2050
257,2059
258,2065
259,2050
260,2058
261,2061
262,2062
263,2060
264,2052
265,2058
266,2053
267,2053
268,2055
269,2056
270,2053
271,2060
272,2061
273,2051
274,2051
275,2052
276,2062
277,2057
278,2055
279,2051
280,2054
281,2054
282,2052
283,2052
284,2054
285,2049
286,2054
287,2051
288,2054
289,2053
290,2061
291,2051
292,2056
293,2054
294,2054
295,2055
296,2052
297,2054
298,2057
299,2050
300,2054
301,2053
302,2048
303,2054
304,2052
305,2061
306,2056
307,2058
308,2055
309,2056
310,2052
311,2055
312,2056
313,2052
314,2053
315,2056
316,2058
317,2055
318,2059
319,2054
320,2056
321,2061
322,2052
323,2054
324,2072
325,2052
326,2059
327,2064
328,2060
329,2055
330,2053
331,2066
332,2057
333,2056
334,2053
335,2060
336,2057
337,2057
338,2052
339,2054
340,2062
341,2054
342,2054
343,2060
344,2055
345,2055
346,2052
347,2051
348,2054
349,2052
350,2056
351,2051
352,2051
353,2053
354,2046
355,2052
356,2056
357,2053
358,2054
359,2056
360,2054
361,2060
362,2052
363,2055
364,2052
365,2050
366,2055
367,2053
368,2050
369,2065
370,2058
371,2053
372,2054
373,2052
374,2056
375,2059
376,2053
377,2059
378,2054
379,2054
380,2056
381,2059
382,2053
383,2053
384,2050
385,2053
386,2055
387,2054
388,2057
389,2061
390,2053
391,2056
392,2058
393,2054
394,2053
395,2052
396,2050
397,2053
398,2056
399,2053
400,2062
401,2052
402,2057
403,2054
404,2059
405,2051
406,2052
407,2060
408,2053
409,2059
410,2052
411,2053
412,2051
413,2064
414,2050
415,2055
416,2058
417,2061
418,2054
419,2056
420,2055
421,2052
422,2065
423,2052
424,2048
425,2053
426,2052
427,2055
428,2057
429,2059
430,2054
431,2056
432,2055
433,2060
434,2060
435,2059
436,2065
437,2051
438,2053
439,2060
440,2060
441,2052
442,2060
443,2057
444,2052
445,2059
446,2055
447,2052
448,2053
449,2056
450,2056
451,2057
452,2054
453,2052
454,2054
455,2057
456,2055
457,2052
458,2059
459,2053
460,2055
461,2055
462,2054
463,2054
464,2070
465,2056
466,2054
467,2065
468,2055
469,2058
470,2054
471,2052
472,2054
473,2061
474,2061
475,2059
476,2051
477,2054
478,2052
479,2055
480,2074
481,2054
482,2063
483,2057
484,2055
485,2053
486,2059
487,2057
488,2055
489,2056
490,2059
491,2059
492,2056
493,2058
494,2052
495,2054
496,2053
497,2052
498,2058
499,2052
500,2055
501,2057
502,2050
503,2056
504,2052
505,2056
506,2057
507,2057
508,2055
509,2056
510,2052
511,2056
512,2053
513,2053
514,2053
515,2055
516,2052
517,2056
518,2052
519,2052
520,2056
521,2055
522,2059
523,2055
524,2051
525,2053
526,2053
527,2051
528,2063
529,2058
530,2052
531,2054
532,2060
533,2057
534,2055
535,2052
536,2062
537,2054
538,2056
539,2053
540,2052
541,2053
542,2054
543,2059
544,2053
545,2057
546,2052
547,2051
548,2055
549,2053
550,2051
551,2054
552,2054
553,2058
554,2055
555,2051
556,2050
557,2051
558,2053
559,2051
560,2057
561,2053
562,2054
563,2060
564,2053
565,2054
566,2051
567,2052
568,2055
569,2055
570,2056
571,2056
572,2055
573,2073
574,2056
575,2054
576,2056
577,2054
578,2053
579,2049
580,2054
581,2053
582,2056
583,2053
584,2050
585,2051
586,2053
587,2053
588,2062
589,2052
590,2051
591,2050
592,2050
593,2052
594,2053
595,2051
596,2050
597,2051
598,2052
599,2053
600,2064
601,2054
602,2051
603,2053
604,2058
605,2054
606,2054
607,2055
608,2054
609,2056
610,2051
611,2054
612,2059
613,2051
614,2053
615,2056
616,2056
617,2051
618,2055
619,2052
620,2049
621,2054
622,2051
623,2056
624,2053
625,2056
626,2052
627,2060
628,2053
629,2057
630,2059
631,2052
632,2056
633,2059
634,2067
635,2056
636,2062
637,2052
638,2060
639,2050
640,2054
641,2060
642,2056
643,2055
644,2054
645,2049
646,2057
647,2058
648,2053
649,2056
650,2055
651,2055
652,2064
653,2056
654,2051
655,2060
656,2053
657,2055
658,2053
659,2053
660,2051
661,2053
662,2053
663,2052
664,2051
665,2052
666,2056
667,2057
668,2059
669,2068
670,2057
671,2056
672,2054
673,2054
674,2058
675,2058
676,2051
677,2053
678,2055
679,2054
680,2053
681,2055
682,2055
683,2056
684,2053
685,2057
686,2051
687,2056
688,2053
689,2057
690,2054
691,2058
692,2055
693,2049
694,2058
695,2053
696,2050
697,2053
698,2051
699,2055
700,2059
701,2054
702,2050
703,2061
704,2053
705,2057
706,2054
707,2055
708,2063
709,2058
710,2051
711,2057
712,2059
713,2071
714,2051
715,2047
716,2062
717,2056
718,2051
719,2058
720,2054
721,2053
722,2057
723,2054
724,2049
725,2054
726,2056
727,2064
728,2048
729,2058
730,2058
731,2051
732,2049
733,2053
734,2058
735,2049
736,2062
737,2059
738,2059
739,2055
740,2057
741,2052
742,2055
743,2049
744,2058
745,2049
746,2050
747,2067
748,2055
749,2053
750,2052
751,2055
752,2060
753,2058
754,2054
755,2054
756,2054
757,2058
758,2053
759,2065
760,2055
761,2059
762,2054
763,2053
764,2057
765,2056
766,2052
767,2050
768,2057
769,2061
770,2056
771,2053
772,2050
773,2052
774,2054
775,2058
776,2055
777,2053
778,2053
779,2056
780,2053
781,2057
782,2053
783,2061
784,2061
785,2059
786,2057
787,2061
788,2057
789,2056
790,2065
791,2055
792,2056
793,2055
794,2052
795,2054
796,2056
797,2054
798,2056
799,2064
800,2057
801,2061
802,2050
803,2050
804,2054
805,2056
806,2057
807,2054
808,2056
809,2048
810,2048
811,2056
812,2055
813,2052
814,2055
815,2056
816,2054
817,2067
818,2051
819,2055
820,2059
821,2057
822,2050
823,2051
824,2054
825,2051
826,2052
827,2060
828,2060
829,2054
830,2051
831,2053
832,2053
833,2051
834,2052
835,2050
836,2062
837,2061
838,2054
839,2053
840,2049
841,2050
842,2061
843,2051
844,2057
845,2051
846,2051
847,2051
848,2061
849,2053
850,2057
851,2057
852,2052
853,2052
854,2051
855,2051
856,2052
857,2050
858,2056
859,2058
860,2051
861,2048
862,2054
863,2051
864,2054
865,2056
866,2057
867,2056
868,2057
869,2055
870,2056
871,2048
872,2053
873,2055
874,2058
875,2054
876,2052
877,2055
878,2053
879,2060
880,2055
881,2061
882,2052
883,2052
884,2058
885,2055
886,2056
887,2052
888,2056
889,2058
890,2056
891,2052
892,2050
893,2057
894,2051
895,2057
896,2053
897,2051
898,2050
899,2053
900,2053
901,2051
902,2054
903,2051
904,2056
905,2057
906,2056
907,2060
908,2055
909,2053
910,2053
911,2057
912,2053
913,2055
914,2053
915,2054
916,2055
917,2052
918,2056
919,2054
920,2053
921,2052
922,2053
923,2054
924,2052
925,2053
926,2058
927,2055
928,2071
929,2054
930,2055
931,2058
932,2062
933,2054
934,2055
935,2053
936,2056
937,2053
938,2049
939,2049
940,2061
941,2053
942,2062
943,2058
944,2050
945,2054
946,2057
947,2054
948,2053
949,2058
950,2050
951,2052
952,2055
953,2052
954,2052
955,2066
956,2054
957,2062
958,2061
959,2053
960,2052
961,2055
962,2054
963,2048
964,2054
965,2060
966,2052
967,2056
968,2055
969,2054
970,2053
971,2054
972,2052
973,2053
974,2052
975,2050
976,2050
977,2049
978,2056
979,2056
980,2053
981,2060
982,2057
983,2053
984,2054
985,2057
986,2054
987,2052
988,2059
989,2050
990,2051
991,2052
992,2061
993,2058
994,2055
995,2050
996,2059
997,2057
998,2058
999,2052
