year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,9642612832.393074,9642612832.393074,2651540206.87046,2651540206.87046,6991072625.522614,6991072625.522614,96041072625.52261,96041072625.52261,36.22086226588932,2100000000000000.0,2100000000000000.0,0
2024,7517632680.889748,7370228118.519361,2991457123.871422,2932801101.8347273,4526175557.018326,4437427016.684633,100567248182.54094,98595341355.4323,33.61814795205586,2186977799999999.8,2139899999999999.8,0
2025,18350702388.4792,17638122249.59554,3362547973.580077,3231976137.62022,14988154414.899122,14406146111.975319,115555402597.44006,111068245480.0462,34.365428688414866,2277558046520399.5,2180558099999999.5,0
2026,17000115857.135479,16019588862.066135,3766769249.600578,3549510792.983636,13233346607.5349,12470078069.0825,128788749204.97496,121360514814.22583,34.190772163341705,2371889945691181.0,2221988703899999.2,0
2027,3777936462.295683,3490229320.5106573,4206164845.5532637,3885846153.677902,-428228383.2575805,-395616833.1672449,128360520821.71738,118585280043.52473,30.517234947988182,2470128883461818.5,2264206489274099.0,0
2028,7778790770.132745,7045490463.729806,4675713742.026068,4234937994.098137,3103077028.1066766,2810552469.631669,131463597849.82405,119070630943.67552,28.116263121116262,2572436681557039.5,2307226412570306.5,0
2029,13242279007.366861,11758764793.466747,5178415513.720413,4598284781.252735,8063863493.646449,7160480012.214012,139527461343.4705,123896392702.09196,26.944045137704197,2678981864033769.0,2351063714409142.0,0
2030,12282703469.599958,10692832526.356678,5715957797.838782,4976085241.436124,6566745671.761176,5716747284.920554,146094207015.23166,127183798953.63817,25.55900728841459,2789939934878319.5,2395733924982915.5,0
2031,11131996843.552639,9501052118.09089,6216876611.14029,5306044326.485249,4915120232.412349,4195007791.6056423,151009327247.644,128885006765.7607,24.29022428674937,2903214620967106.5,2439815429202601.0,0
2032,12986603340.13212,10866608730.655005,6746414534.174623,5645097887.230453,6240188805.957498,5221510843.424552,157249516053.6015,131579360613.77817,23.308605668542704,3018717504990680.0,2483244143842407.5,0
2033,14622300110.045736,11995379035.540314,7525254294.843468,6173329566.9030485,7097045815.202269,5822049468.637265,164346561868.80377,134821422619.40018,21.839336642938303,3136351130222557.5,2525955943116497.0,0
2034,13377307691.40217,10758874138.773144,8343651067.072455,6710490164.33766,5033656624.329714,4048383974.435484,169380218493.13348,136226249287.5729,20.30049161111001,3256008947634718.0,2567886811772230.5,0
2035,16953946607.750652,13368071199.387161,9217110793.16585,7267628958.991299,7736835814.584805,6100442240.395863,177117054307.7183,139655588600.76147,19.21611427726833,3377575297703607.5,2608973000760586.0,0
2036,14026790070.570696,10843164947.02111,10148297649.225107,7844964157.044473,3878492421.3455887,2998200789.976638,180995546729.06387,139915444516.21338,17.83506485374758,3500925428399838.0,2649151184972299.0,0
2037,7809361402.089449,5918519964.627378,11139958203.275541,8442696097.219967,-3330596801.1860933,-2524176132.5925884,177664949927.87778,134647828295.06757,15.948439544022527,3625925550709803.0,2688358622509889.0,0
2038,6395858202.371578,4752216855.279972,12190710346.18854,9057877356.241522,-5794852143.816961,-4305660500.96155,171870097784.06082,127702014298.1243,14.098448154647238,3752432932877891.5,2726533314949529.5,0
2039,12231384318.618845,8909900702.82783,13290795620.821407,9681624430.91883,-1059411302.2025616,-771723728.0910015,170810686481.85825,124426329505.36418,12.85180295860284,3880296034384485.0,2763614168032843.5,0
2040,1729996201.7736669,1235498520.5132875,14442386005.595083,10314211397.863508,-12712389803.821415,-9078712877.35022,158098296678.03683,112907884676.92838,10.946826695865104,4009354680488112.5,2799541152217270.0,0
2041,8588113425.9992285,6013048128.481495,15577755222.343004,10906911359.843147,-6989641796.343776,-4893863231.361652,151108654881.69305,105800141353.86224,9.70028433011706,4140252092096688.0,2834255462504764.0,0
2042,21106131323.200966,14487897759.99485,16764278337.156406,11507516315.97369,4341852986.04456,2980381444.02116,155450507867.7376,106706010222.31747,9.272722913648872,4272889208119097.5,2867699676962320.5,0
2043,25721025834.136963,17309513044.505936,17999304216.191505,12113015753.387877,7721721617.945456,5196497291.118059,163172229485.68307,109810232803.19402,9.065474283105866,4407160478595033.0,2899817913344299.0,0
2044,38348081346.11183,25301136691.793243,19327850869.192234,12752048593.680416,19020230476.919598,12549088098.112827,182192459962.60266,120206179081.63635,9.426421033339492,4542953907261503.0,2930555983225748.5,0
2045,210795830.236673,136350971.63398075,20715727576.374176,13399741256.608877,-20504931746.1375,-13263390284.974895,161687528216.46515,104585804893.09996,7.805061522476582,4680151115260800.0,2959861543058006.0,0
2046,26673174209.764565,16914951268.901775,22165099651.215816,14056129110.175995,4508074558.548748,2858822158.7257805,166195602775.0139,105393924995.09828,7.498076047039003,4818627426459137.0,2987684241562751.5,0
2047,33175999336.053345,20626231671.069202,23678194566.975796,14721242357.885654,9497804769.07755,5904989313.183548,175693407544.09143,109232366759.35832,7.420050842437654,4958251974768217.0,3013975862888503.5,0
2048,5143656487.653545,3135217416.617895,25257306568.41237,15395108059.844007,-20113650080.758823,-12259890643.226112,155579757463.3326,94830665003.20363,6.159792099839571,5098887833780542.0,3038690464964189.0,0
2049,33655486322.89354,20111821447.495964,26426239556.012993,15791773334.671999,7229246766.880545,4320048112.823965,162809004230.21317,97291288312.04321,6.16088429400345,5240392168943620.0,3061784512497917.0,0
2050,17849221703.51282,10457181510.183025,27619987868.560837,16181502546.620905,-9770766165.048016,-5724321036.43788,153038238065.16516,89659294955.76135,5.540851024028322,5382616412408749.0,3083217004085402.0,0
2051,18209490493.47731,10459067960.63132,28649725772.260815,16455673430.99807,-10440235278.783503,-5996605470.366749,142598002786.38165,81904664094.10515,4.977290321028051,5527053541219325.0,3103874558012774.0,0
2052,11262456299.26262,6342027746.455947,29685296180.861214,16716155609.244026,-18422839881.59859,-10374127862.788078,124175162904.78307,69924562425.55031,4.183052853784279,5673675217560791.0,3123739355184055.5,0
2053,21032098686.04757,11611209418.719513,30737513018.264668,16969286137.02498,-9705414332.217096,-5358076718.305468,114469748572.56596,63195415855.76346,3.72410573700437,5822450329115670.0,3142794165250678.0,0
2054,6405527666.443392,3466966032.547865,31815284740.566,17219894637.130676,-25409757074.122612,-13752928604.582811,89059991498.44336,48203361450.08725,2.7992831817999613,5973344951845031.0,3161022371409132.0,0
2055,4560222849.374638,2419806115.340986,32919968659.37056,17468431721.424004,-28359745809.995922,-15048625606.083017,60700245688.44743,32209571894.002518,1.8438731311236929,6126322316061783.0,3178407994451882.5,0
2056,15486528440.32211,8056537006.186638,34024073163.715504,17700300335.28768,-18537544723.393394,-9643763329.101044,42162700965.05404,21934248331.685738,1.2392020426883474,6281342775947411.0,3194935716023032.5,0
2057,4795012979.159734,2445591673.9160156,35153007113.57718,17929023734.39247,-30357994134.41745,-15483432060.476456,11804706830.63659,6020732970.587991,0.33580930338324444,6438363782660543.0,3210590901031545.0,0
2058,8059754771.73211,4030099942.7704115,36270772505.66472,18136387810.705532,-28211017733.932602,-14106287867.93512,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0,0
2059,7789640003.953655,3818661862.8480887,37379420655.7838,18324257352.22037,-29589780651.830143,-14505595489.372282,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0,0
2060,7751371314.38865,3725393789.4996853,38480251587.279205,18494029568.101227,-30728880272.890556,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0,0
2061,7706094689.418959,3631013086.850941,38911433433.107506,18334568898.78883,-31205338743.68855,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5,0
2062,7655387967.689451,3536392871.792754,39319640848.52517,18163638238.199387,-31664252880.835716,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0,0
2063,7598943935.531667,3441488873.9322677,39707069991.16333,17982951414.087185,-32108126055.631664,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0,0
2064,7536513092.073881,3346288767.959124,40075710374.27169,17794024617.88939,-32539197282.197815,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5,0
2065,7467712178.438597,3250725940.9620333,40427338374.061264,17598187294.37008,-32959626195.62267,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0,0
2066,7477281843.974076,3191070250.8598185,40822162586.67205,17421623435.402966,-33344880742.697975,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5,0
2067,7487824827.380432,3132911437.984845,41210658082.04892,17242569778.078228,-33722833254.66849,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0,0
2068,7499362510.660693,3076214522.735862,41594713742.823074,17062018578.621893,-34095351232.162384,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5,0
2069,7509783873.676159,3020087580.904511,41973981536.45151,16879993151.82674,-34464197662.77535,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0,0
2070,7519066059.297624,2964529849.4663877,42350061858.678925,16697289466.097525,-34830995799.3813,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5,0
2071,7543188230.104102,2915725939.419271,42377340431.39922,16380435827.693314,-34834152201.29512,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5,0
2072,7567761660.148653,2867867151.2773805,42370330036.539154,16056594163.165693,-34802568376.3905,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0,0
