year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96585786174.01538,96761695007.55653,87893518757.57355,104622751522.93423,7535786174.015362,7711695007.556532,-1156481242.4264486,15572751522.934229
2024,104182764748.88977,103883212603.73312,92080829638.04922,116326768867.5228,7596978574.874404,7517767526.284632,-1104351169.4343224,16617076820.711285
2025,111366910354.73235,111179376926.79901,95934326723.53322,126948823284.00989,7184145605.842584,7116671828.640323,-2324179155.1073675,16692686141.772806
2026,118671325664.71176,118155573739.93463,99673283435.68633,137965758506.98315,7304415309.9794235,7125517383.372359,-2119188539.1769347,17632677451.154106
2027,126112836900.0226,125664321945.66502,103947511710.6403,149829439952.93347,7441511235.31083,7279230821.223369,-2948802136.624883,18453573511.623486
2028,133408969611.10968,132802915946.60846,107839282838.35223,160307679447.13297,7296132711.087091,6996778543.493103,-3674403541.948857,18745460316.31336
2029,140220113722.45374,139878533723.11285,110802665521.53183,170381387719.0709,6811144111.344062,6880643711.600468,-5062995672.7984,19079863422.490635
2030,146688490338.00735,146002503536.68573,115064273873.50589,179648972449.68298,6468376615.553587,6621082338.343155,-6422233230.328117,19225459553.389786
2031,152452672937.88333,151624952500.01074,119830577042.94604,191662387755.30203,5764182599.876009,5763347483.059048,-7678201655.996421,19088006033.44492
2032,157965449793.14664,155828618198.9602,121625061555.45871,201312527332.6729,5512776855.263274,5180958526.680509,-8357928905.289349,20062432327.527355
2033,163322428366.6578,161633465418.33026,123896162163.27612,207659833477.51648,5356978573.511184,5537936582.53368,-8342101769.35953,18853700606.83558
2034,167952964914.43674,166328321455.94183,126446901842.46481,217666970141.14233,4630536547.778908,4757791009.512758,-10110111630.62708,20489479923.600857
2035,172032099092.40085,169619062494.32425,125449175196.72662,223926320193.18875,4079134177.964105,4299454756.615454,-10492935320.458496,19991754165.177113
2036,175168827094.1123,172121591473.02087,127300488572.22835,232890488237.09686,3136728001.7114778,2746571673.1550674,-12660765507.835896,19718976646.96523
2037,177226237946.2265,173789991666.4284,124028385209.17455,237429686873.36453,2057410852.1141937,1903660915.9349566,-14000111029.733477,19831308287.8395
2038,178582289684.88873,175354413946.7467,123316180756.62375,244031579902.81,1356051738.6622257,1029599517.3187125,-15400830502.936598,18082426717.585052
2039,178078554289.2641,174864212079.31238,120584951472.15047,250779005829.4294,-503735395.62460935,-416645824.61358166,-16853170271.6249,16271161365.987825
2040,176632094630.9817,172317833634.15936,116574819249.60104,256565866619.6903,-1446459658.2824314,-1703427590.3368368,-18477134594.929565,15409337836.155977
2041,174763711021.95093,169693535881.31433,112167933444.94191,258154496000.23712,-1868383609.0307329,-1923557764.2315466,-18259004941.040142,15035955630.955725
2042,171000884335.77002,165619733274.86102,106269067662.04295,259585805414.16086,-3762826686.1809053,-4107216430.073289,-19125621288.911526,12806282956.797194
2043,165408162331.47644,160145587968.14832,98910620601.77112,251975885242.8519,-5592722004.293597,-6362917397.671836,-21380897367.036606,10939006616.599203
2044,158781820990.64758,151775652760.5848,89499637054.3881,252499995280.05505,-6626341340.828848,-7323385734.175804,-21235414467.072205,10038615979.96663
2045,150194508236.79138,141472252596.19464,79515587599.73802,249344603322.37634,-8587312753.856231,-9427224357.27397,-22203575957.25648,7520263356.923706
2046,139897235591.59717,130518360494.64699,64718912817.1094,242686284081.17343,-10297272645.1942,-11059747887.885777,-23629848602.66861,6442927559.149291
2047,128114480773.17506,118057792723.74722,50042515027.79291,236827681925.1752,-11787653523.217695,-12594793014.483692,-24484846729.033157,3964288333.849969
2048,114751425667.79903,104316340622.90643,34096290988.73845,227660821566.03082,-13430623765.583437,-14199633221.233648,-24940593511.592964,189628037.45114052
2049,99477565181.71237,88258820223.25153,15776064884.620077,216403481175.86926,-15513032348.054863,-16401526331.237064,-25045566876.434116,-2841932268.010854
