year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96861360841.87616,96604098552.71701,89578284568.40587,105359470565.65527,7811360841.876159,7554098552.717012,528284568.405865,16309470565.65528
2024,104977199402.78557,103858530218.04846,91080149015.93364,120373670958.99435,8115838560.909394,8130829194.341921,-2820953750.587324,17597963283.2495
2025,113073204939.24666,110709111260.1254,96483800720.76501,133534016321.25069,8096005536.461122,6357485357.91724,-2393846576.9603286,23447877394.104485
2026,119708071661.35693,119923613674.8949,100380884948.24701,144292352097.41946,6634866722.110274,5993640641.174681,-5140493937.173667,18160862254.816547
2027,127202468402.28897,125339441061.41801,104601009488.95,155866514473.91605,7494396740.932016,7952857256.076948,-3776182676.041818,18891679897.951267
2028,134920467031.23415,134007831691.78421,105660250967.90399,166443442053.59735,7717998628.945181,6377328889.362488,-5413178440.299181,23513906426.004776
2029,140826093682.36795,138741847978.16772,112404120546.79633,170660662787.4553,5905626651.133768,5624049848.8534565,-8252813815.899356,21573497737.779793
2030,147897193058.53674,145814140061.61737,112917802516.23157,188343054554.27243,7071099376.16882,6867140120.374211,-5832481540.091311,23180223444.589
2031,154328615198.9545,151711867628.66418,116703486354.11186,194617251208.4755,6431422140.417758,5466169224.020153,-6796144152.719547,24811698500.576584
2032,159665292873.84448,155443016895.58142,116240959526.8743,203790578418.82465,5336677674.889967,5763942819.735765,-11131651730.19748,20340075802.387947
2033,165985286939.08325,160522568715.31808,118793051715.37044,224744608025.1053,6319994065.238755,6853996166.540454,-13069920762.192963,26746429654.82425
2034,171405436495.94064,165569423458.91235,119667337863.13867,233770235401.19586,5420149556.857428,3769025094.764623,-8635264550.200684,23507756884.242405
2035,175358866250.44714,166425196306.45862,123576178767.5559,246599796042.08963,3953429754.506482,2957716208.670612,-12576195639.408375,21878258470.883644
2036,177083206231.11868,169524338557.14987,123825122672.43431,249343732345.29654,1724339980.6715798,1112871994.164517,-17280383538.060894,19030767775.145924
2037,178339833479.09445,166943222916.87164,126648793002.73293,259705629806.55756,1256627247.975713,1369059482.5674105,-18174164035.24115,20801772023.774513
2038,180039094925.173,170997355857.01868,123592479566.91982,257899778184.54868,1699261446.0785913,2396315602.823969,-18224699792.674404,19991952530.457623
2039,178886650939.05508,170536352137.48004,124698508263.27065,261230489305.48947,-1152443986.117939,584603566.6227446,-23091031945.51644,19116392057.323074
