year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10353304888.117912,10353304888.117912,2651540206.87046,2651540206.87046,7701764681.247452,7701764681.247452,99201764681.24745,99201764681.24745,37.41288343439173,2100000000000000.0,2100000000000000.0
2024,10770983901.459156,10559788138.685448,2991457123.871422,2932801101.8347273,7779526777.587735,7626987036.85072,106981291458.83519,104883619077.2894,35.762268028225776,2186977799999999.8,2139899999999999.8
2025,11140873840.827421,10708260131.514246,3362547973.580077,3231976137.62022,7778325867.247344,7476283993.894026,114759617326.08253,110303361520.64835,34.12876730020268,2277558046520399.5,2180558099999999.5
2026,11513121924.551683,10849071929.868305,3766769249.600578,3549510792.983636,7746352674.951106,7299561136.884669,122505970001.03365,115440111647.32423,32.522823110023,2371889945691181.0,2221988703899999.2
2027,11886859482.735828,10981620762.945393,4206164845.5532637,3885846153.677902,7680694637.182566,7095774609.26749,130186664638.21622,120272354655.6638,30.951393827526495,2470128883461818.5,2264206489274099.0
2028,12150981568.801414,11005518376.538887,4675713742.026068,4234937994.098137,7475267826.775347,6770580382.44075,137661932464.99158,124684653574.268,29.441907708691396,2572436681557039.5,2307226412570306.5
2029,12408105551.386358,11018042636.776707,5178415513.720413,4598284781.252735,7229690037.665945,6419757855.523972,144891622502.65753,128659614300.88477,27.979914342285117,2678981864033769.0,2351063714409142.0
2030,12657004676.386305,11018684251.792004,5715957797.838782,4976085241.436124,6941046878.547523,6042599010.35588,151832669381.20505,132179475775.92918,26.562944435771264,2789939934878319.5,2395733924982915.5
2031,12896294325.5533,11006863030.893415,6216876611.14029,5306044326.485249,6679417714.413012,5700818704.408167,158512087095.61807,135288540053.35834,25.49706179009141,2903214620967106.5,2439815429202601.0
2032,13126705499.646902,10983839950.38913,6746414534.174623,5645097887.230453,6380290965.47228,5338742063.158677,164892378061.09036,137974565644.88254,24.441483283574097,3018717504990680.0,2483244143842407.5
2033,13326490268.689909,10932363635.222567,7525254294.843468,6173329566.9030485,5801235973.846441,4759034068.319518,170693614034.9368,140028216073.10632,22.682770222383212,3136351130222557.5,2525955943116497.0
2034,13450399738.091011,10817659370.37666,8343651067.072455,6710490164.33766,5106748671.018555,4107169206.0389996,175800362705.95535,141389733983.5942,21.06995622093274,3256008947634718.0,2567886811772230.5
2035,13548050524.945852,10682545381.35528,9217110793.16585,7267628958.991299,4330939731.780004,3414916422.3639812,180131302437.73535,142032302680.78967,19.543141715438217,3377575297703607.5,2608973000760586.0
2036,13616815539.557926,10526241300.093798,10148297649.225107,7844964157.044473,3468517890.332819,2681277143.049325,183599820328.06818,141928632712.451,18.09168657386466,3500925428399838.0,2649151184972299.0
2037,13653904445.95408,10347953167.703602,11139958203.275541,8442696097.219967,2513946242.6785383,1905257070.483635,186113766570.7467,141050975416.0238,16.70686399128703,3625925550709803.0,2688358622509889.0
2038,13656356226.144346,10146873833.99567,12190710346.18854,9057877356.241522,1465645879.955806,1088996477.7541485,187579412450.7025,139374266493.46375,15.387078121280254,3752432932877891.5,2726533314949529.5
2039,13621155389.224512,9922273621.231676,13290795620.821407,9681624430.91883,330359768.40310425,240649190.31284523,187909772219.10562,136882086929.0028,14.138338860972741,3880296034384485.0,2763614168032843.5
2040,13545476312.970709,9673672073.479248,14442386005.595083,10314211397.863508,-896909692.6243734,-640539324.3842602,187012862526.48126,133557585115.81456,12.948889640121179,4009354680488112.5,2799541152217270.0
2041,13426289016.111633,9400542125.62853,15577755222.343004,10906911359.843147,-2151466206.231371,-1506369234.2146168,184861396320.24988,129432439702.85847,11.867011240175684,4140252092096688.0,2834255462504764.0
2042,13257942137.226894,9100659294.246254,16764278337.156406,11507516315.97369,-3506336199.929512,-2406857021.727436,181355060120.32037,124487691706.5652,10.817946139582064,4272889208119097.5,2867699676962320.5
2043,13043260291.493576,8777740266.441822,17999304216.191505,12113015753.387877,-4956043924.697929,-3335275486.9460545,176399016195.62244,118711481088.11784,9.800324172361087,4407160478595033.0,2899817913344299.0
2044,12920773283.750166,8524813746.619923,19327850869.192234,12752048593.680416,-6407077585.44207,-4227234847.0604935,169991938610.18036,112156570141.29033,8.795180579602889,4542953907261503.0,2930555983225748.5
2045,12752074233.166273,8248539404.639384,20715727576.374176,13399741256.608877,-7963653343.207903,-5151201851.969493,162028285266.97244,104806219855.17787,7.821510717864531,4680151115260800.0,2959861543058006.0
2046,12534044241.785679,7948538328.612185,22165099651.215816,14056129110.175995,-9631055409.43014,-6107590781.56381,152397229857.5423,96643605154.88509,6.875549050337019,4818627426459137.0,2987684241562751.5
2047,12263182990.53843,7624284375.743881,23678194566.975796,14721242357.885654,-11415011576.437365,-7096957982.141773,140982218281.10492,87651674522.6475,5.954094932463059,4958251974768217.0,3013975862888503.5
2048,11935809382.767761,7275244283.538033,25257306568.41237,15395108059.844007,-13321497185.644608,-8119863776.305975,127660721095.46031,77813150461.58374,5.054407553302499,5098887833780542.0,3038690464964189.0
2049,11574134401.507507,6916462958.198208,26426239556.012993,15791773334.671999,-14852105154.505486,-8875310376.473791,112808615940.95483,67412092036.84361,4.268810766732284,5240392168943620.0,3061784512497917.0
2050,11163030614.267572,6539995932.380182,27619987868.560837,16181502546.620905,-16456957254.293264,-9641506614.240723,96351658686.66158,56448779696.39027,3.4884757786710088,5382616412408749.0,3083217004085402.0
2051,10700076150.149067,6145851454.681113,28649725772.260815,16455673430.99807,-17949649622.111744,-10309821976.316956,78402009064.54984,45032118902.49703,2.736571012503725,5527053541219325.0,3103874558012774.0
2052,10177826593.499949,5731259410.86404,29685296180.861214,16716155609.244026,-19507469587.361263,-10984896198.379986,58894539477.18857,33164239980.538673,1.9839633439520545,5673675217560791.0,3123739355184055.5
2053,9609095039.276384,5304901640.625772,30737513018.264668,16969286137.02498,-21128417978.98828,-11664384496.399208,37766121498.20029,20849576268.83478,1.2286654901377063,5822450329115670.0,3142794165250678.0
2054,8991810097.083818,4866780974.348636,31815284740.566,17219894637.130676,-22823474643.482185,-12353113662.78204,14942646854.718102,8087647385.095199,0.46966880782511167,5973344951845031.0,3161022371409132.0
2055,8323558376.068358,4416757278.116347,32919968659.37056,17468431721.424004,-24596410283.3022,-13051674443.307655,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5
