year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10423275476,10423275476,2651540207,2651540207,7771735269,7771735269,99271735269,99271735269,37.43927209,2.1E+15,2.1E+15
2024,10850460396,10637706270,2991457124,2932801102,7859003272,7704905168,1.07131E+11,1.0503E+11,35.81222598,2.18698E+15,2.1399E+15
2025,11228802661,10792774568,3362547974,3231976138,7866254687,7560798430,1.14997E+11,1.10532E+11,34.19936136,2.27756E+15,2.18056E+15
2026,11609755703,10940132098,3766769250,3549510793,7842986454,7390621305,1.2284E+11,1.15755E+11,32.61149583,2.37189E+15,2.22199E+15
2027,11992434430,11079155695,4206164846,3885846154,7786269584,7193309541,1.30626E+11,1.20678E+11,31.05590343,2.47013E+15,2.26421E+15
2028,12265714706,11109435714,4675713742,4234937994,7590000964,6874497720,1.38216E+11,1.25187E+11,29.56046025,2.57244E+15,2.30723E+15
2029,12532111392,11128156274,5178415514,4598284781,7353695878,6529871493,1.4557E+11,1.29262E+11,28.11090491,2.67898E+15,2.35106E+15
2030,12790369850,11134786661,5715957798,4976085241,7074412052,6158701420,1.52644E+11,1.32886E+11,26.70494842,2.78994E+15,2.39573E+15
2031,13039074471,11128724510,6216876611,5306044326,6822197860,5822680184,1.59467E+11,1.36103E+11,25.65059048,2.90321E+15,2.43982E+15
2032,13278978995,11111255600,6746414534,5645097887,6532564461,5466157713,1.65999E+11,1.38901E+11,24.60553226,3.01872E+15,2.48324E+15
2033,13488308596,11065111025,7525254295,6173329567,5963054301,4891781458,1.71962E+11,1.41069E+11,22.85134403,3.13635E+15,2.52596E+15
2034,13621597579,10955347467,8343651067,6710490164,5277946512,4244857302,1.7724E+11,1.42548E+11,21.2425136,3.25601E+15,2.56789E+15
2035,13728367566,10824724137,9217110793,7267628959,4511256772,3557095178,1.81751E+11,1.4331E+11,19.71890999,3.37758E+15,2.60897E+15
2036,13805920224,10672425372,10148297649,7844964157,3657622575,2827461215,1.85409E+11,1.43327E+11,18.26996084,3.50093E+15,2.64915E+15
2037,13851387715,10497620805,11139958203,8442696097,2711429512,2054924708,1.8812E+11,1.42572E+11,16.88699605,3.62593E+15,2.68836E+15
2038,13861724872,10299465763,12190710346,9057877356,1671014525,1241588406,1.89791E+11,1.41018E+11,15.5685304,3.75243E+15,2.72653E+15
2039,13833828298,10077194311,13290795621,9681624431,543032677,395569880.3,1.90334E+11,1.38648E+11,14.32077377,3.8803E+15,2.76361E+15
2040,13764787089,9830295620,14442386006,10314211398,-677598916.2,-483915778.3,1.89657E+11,1.35446E+11,13.13196299,4.00935E+15,2.79954E+15
2041,13651479526,9558211372,15577755222,10906911360,-1926275696,-1348699987,1.87731E+11,1.31441E+11,12.05119737,4.14025E+15,2.83426E+15
2042,13488210219,9258722389,16764278337,11507516316,-3276068118,-2248793927,1.84455E+11,1.26615E+11,11.00283179,4.27289E+15,2.8677E+15
2043,13277701474,8935512461,17999304216,12113015753,-4721602743,-3177503292,1.79733E+11,1.20955E+11,9.98554887,4.40716E+15,2.89982E+15
2044,13158381987,8681582223,19327850869,12752048594,-6169468882,-4070466371,1.73563E+11,1.14513E+11,8.979967001,4.54295E+15,2.93056E+15
2045,12991813677,8403612235,20715727576,13399741257,-7723913899,-4996129021,1.6584E+11,1.07271E+11,8.005489959,4.68015E+15,2.95986E+15
2046,12774764219,8101192327,22165099651,14056129110,-9390335432,-5954936783,1.56449E+11,99213194668,7.058358236,4.81863E+15,2.98768E+15
2047,12503612344,7773764471,23678194567,14721242358,-11174582223,-6947477887,1.45275E+11,90320360023,6.135376202,4.95825E+15,3.01398E+15
2048,12174547908,7420762785,25257306568,15395108060,-13082758660,-7974345275,1.32192E+11,80575027297,5.233807193,5.09889E+15,3.03869E+15
2049,11809644315,7057198804,26426239556,15791773335,-14616595241,-8734574531,1.17575E+11,70260550270,4.449186851,5.24039E+15,3.06178E+15
2050,11394021183,6675324539,27619987869,16181502547,-16225966686,-9506178008,1.01349E+11,59376714414,3.669419094,5.38262E+15,3.08322E+15
2051,10925160009,6275133896,28649725772,16455673431,-17724565763,-10180539535,83624745097,48031925576,2.918867209,5.52705E+15,3.10387E+15
2052,10395662242,5853925345,29685296181,16716155609,-19289633939,-10862230264,64335111158,36227892850,2.167238311,5.67368E+15,3.12374E+15
2053,9818249930,5420369967,30737513018,16969286137,-20919263088,-11548916170,43415848070,23968625840,1.412471075,5.82245E+15,3.14279E+15
2054,9190759469,4974461520,31815284741,17219894637,-22624525272,-12245433117," 20,791,322,799 "," 11,253,219,667 ", 1 ,5.97334E+15,3.16102E+15
2055,8510673919,4516047017,32919968659,17468431721,-24409294740,-12952384705,0,0,0,6.12632E+15,3.17841E+15
2056,7868772809,4093561676,34024073164,17700300335,-26155300355,-13606738659,0,0,0,6.28134E+15,3.19494E+15
2057,7847044237,4002213578,35153007114,17929023734,-27305962876,-13926810156,0,0,0,6.43836E+15,3.21059E+15
2058,7821393618,3910912784,36270772506,18136387811,-28449378888,-14225475027,0,0,0,6.59734E+15,3.22536E+15
2059,7789640004,3818661863,37379420656,18324257352,-29589780652,-14505595489,0,0,0,6.75822E+15,3.23923E+15
2060,7751371314,3725393789,38480251587,18494029568,-30728880273,-14768635779,0,0,0,6.92096E+15,3.25219E+15
2061,7706094689,3631013087,38911433433,18334568899,-31205338744,-14703555812,0,0,0,7.08621E+15,3.26454E+15
2062,7655387968,3536392872,39319640849,18163638238,-31664252881,-14627245366,0,0,0,7.25395E+15,3.2763E+15
2063,7598943936,3441488874,39707069991,17982951414,-32108126056,-14541462540,0,0,0,7.42419E+15,3.28744E+15
2064,7536513092,3346288768,40075710374,17794024618,-32539197282,-14447735850,0,0,0,7.5969E+15,3.29796E+15
2065,7467712178,3250725941,40427338374,17598187294,-32959626196,-14347461353,0,0,0,7.77209E+15,3.30785E+15
2066,7477281844,3191070251,40822162587,17421623435,-33344880743,-14230553185,0,0,0,7.94973E+15,3.31711E+15
2067,7487824827,3132911438,41210658082,17242569778,-33722833255,-14109658340,0,0,0,8.1298E+15,3.32574E+15
2068,7499362511,3076214523,41594713743,17062018579,-34095351232,-13985804056,0,0,0,8.3123E+15,3.33372E+15
2069,7509783874,3020087581,41973981536,16879993152,-34464197663,-13859905571,0,0,0,8.4972E+15,3.34105E+15
2070,7519066059,2964529849,42350061859,16697289466,-34830995799,-13732759617,0,0,0,8.68448E+15,3.34773E+15
2071,7543188230,2915725939,42377340431,16380435828,-34834152201,-13464709888,0,0,0,8.87588E+15,3.35443E+15
2072,7567761660,2867867151,42370330037,16056594163,-34802568376,-13188727012,0,0,0,9.07151E+15,3.36114E+15
2073,7592831242,2820948511,42328787909,15726324925,-34735956667,-12905376414,0,0,0,9.27144E+15,3.36786E+15
2074,7613644795,2773216986,42286468311,15402550994,-34672823516,-12629334008,0,0,0,9.47579E+15,3.3746E+15
2075,7637405641,2727325205,42257150468,15090070760,-34619744827,-12362745555,0,0,0,9.68463E+15,3.38135E+15
2076,7664177924,2683221190,42242338702,14789001434,-34578160778,-12105780245,0,0,0,9.89808E+15,3.38811E+15
2077,7694067871,2640868266,42238826968,14497815666,-34544759097,-11856947401,0,0,0,1.01E+16,3.39488E+15
2078,7727181729,2600229489,42243550902,14215134395,-34516369173,-11614904906,0,0,0,1.03E+16,3.40167E+15
2079,7763437385,2561205560,42253360575,13939642541,-34489923190,-11378436981,0,0,0,1.06E+16,3.40848E+15
2080,7802939238,2523762219,42265420423,13670216822,-34462481185,-11146454603,0,0,0,1.08E+16,3.41529E+15
2081,7845340426,2487721910,42275862079,13405484357,-34430521653,-10917762447,0,0,0,1.10E+16,3.42212E+15
2082,7890757607,2453062247,42282035559,13144550921,-34391277952,-10691488674,0,0,0,1.13E+16,3.42897E+15
2083,7939308753,2419760516,42281360313,12886608825,-34342051559,-10466848309,0,0,0,1.15E+16,3.43583E+15
2084,8023798025,2397560145,42295045571,12638019460,-34271247546,-10240459315,0,0,0,1.18E+16,3.4427E+15
2085,8104120338,2374079358,42293891578,12389877098,-34189771240,-10015797740,0,0,0,1.20E+16,3.44958E+15
2086,8180521131,2349471330,42275855667,12141758361,-34095334536,-9792287031,0,0,0,1.23E+16,3.45648E+15
2087,8253278366,2323889643,42238935019,11893288858,-33985656653,-9569399215,0,0,0,1.26E+16,3.4634E+15
2088,8322704572,2297488332,42181160699,11644138475,-33858456127,-9346650143,0,0,0,1.29E+16,3.47032E+15
2089,8394734261,2271933507,41976859990,11360530513,-33582125730,-9088597006,0,0,0,1.31E+16,3.47726E+15
2090,8462224220,2245292990,41789172779,11087975720,-33326948560,-8842682731,0,0,0,1.34E+16,3.48422E+15
2091,8527290867,2218193341,41616076622,10825537148,-33088785755,-8607343807,0,0,0,1.37E+16,3.49119E+15
2092,8590590694,2190842593,41455699096,10572370927,-32865108401,-8381528334,0,0,0,1.40E+16,3.49817E+15
2093,8652590894,2163386657,41306547688,10327777566,-32653956794,-8164390909,0,0,0,1.43E+16,3.50517E+15
