year,mean_reserve,median_reserve,p5_reserve,p95_reserve,mean_balance,median_balance,p5_balance,p95_balance
2023,96555377902.22438,96742841990.74323,85444323956.12587,105681520846.23466,7505377902.224362,7692841990.743234,-3605676043.8741317,16631520846.234665
2024,104959502462.11044,104715019215.88394,92051793251.72993,118998843656.20236,8404124559.886075,8728562820.986237,-714391011.361517,17677034827.07259
2025,112883918616.67041,112437906528.23886,96562030762.97041,131498078117.5677,7924416154.559979,7923685569.266946,-5296881891.655608,18787142006.38218
2026,121749358310.4232,120558100323.56842,100136359814.62366,146074933767.62628,8865439693.752771,9585666073.699886,-3514718663.6745234,20545794263.62872
2027,129490016126.92506,128160947025.01907,101321361595.84497,163077863875.37497,7740657816.50184,8675292852.562874,-4862285435.082681,22094533331.830055
2028,138240706824.88852,135800403672.46509,107551348262.75423,176308905408.96567,8750690697.963493,8228822054.802304,-4044458353.2277555,22517517417.914295
2029,144385190506.013,142958685315.63895,108803994440.50143,184801736229.07538,6144483681.124515,5327210203.374308,-8566013166.601352,25079863700.17783
2030,151095533162.74533,148584618229.15936,111107466887.87321,202916021982.71115,6710342656.732318,6815784875.004326,-12275660573.800293,20879451683.964302
2031,157186939201.05853,154956876846.16095,114947105203.24162,206435725353.01794,6091406038.313166,5052895813.718857,-7008022163.516673,22907475305.56278
2032,163861243313.59634,159258284103.38513,115899316831.79713,219262683393.2072,6674304112.537824,5214935153.018205,-10369556691.793085,24248467998.675304
2033,169625638606.19208,162426557202.8004,121555261156.02435,227184637834.6317,5764395292.59572,6618792968.270241,-12062529817.097925,23011798716.597744
2034,174055398845.3846,169394425621.95856,119414607176.62335,235910107711.52933,4429760239.1925335,5558037476.501106,-11232869342.181446,19573252589.653374
2035,180095976677.49442,176495625828.6001,117452291388.51451,251272757228.6952,6040577832.109807,5671620146.444329,-11503691502.17132,25164550836.53965
2036,184507395394.69727,178960626132.79688,121664422603.84872,262693385164.626,4411418717.20289,2472201971.6575255,-12605853630.343756,28670017697.0028
2037,186183796883.99963,182080470028.68713,119664190620.53204,274015155698.7497,1676401489.3023388,327620497.7155711,-14055641851.695774,19674294658.349915
2038,186179935420.41876,177438463035.70087,117093330022.73212,275988747920.89404,-3861463.5808882713,-1747628626.8231652,-18409211342.62247,24770598720.817474
2039,186200099563.98468,179589689702.6869,113474294896.42355,283901411597.4575,20164143.56593999,-35906166.61566063,-20784570561.652916,19203805644.79925
2040,185088935534.0174,180771250679.58246,112342257688.76614,283705789279.59827,-1111164029.967307,-3282709131.729527,-15423153564.083654,18092344357.981197
2041,182257768516.892,176766958994.12036,106902501955.4636,292977442631.05457,-2831167017.125377,-3681318363.048645,-23290394058.464535,18535522872.74331
2042,180248400474.80737,169509460517.65543,94801490984.98763,292786441078.4161,-2009368042.0846336,-939902230.0940607,-21837521878.395588,13563880135.713463
2043,175424965188.55127,162571148077.07312,93371345890.6324,293940702921.8848,-4823435286.256125,-4152390691.83969,-27140444140.530926,15210305959.046268
2044,169062430894.56982,161493987006.35635,76577284660.26538,283281413981.158,-6362534293.981429,-6276236897.983627,-21959325319.894524,12375545432.849367
2045,161734150851.39865,154150454294.21338,68817693132.30234,289532894261.70715,-7328280043.171179,-7624196227.466738,-23775740266.548706,11119760581.738848
2046,152867556658.39597,148250163762.70837,57657299616.56473,290860710793.9093,-8866594193.002693,-10081142802.360336,-27197617710.760014,10097474594.379799
2047,142764669131.42554,136903176311.07193,42300889777.47659,278921807200.4287,-10117580011.676926,-11117310972.272541,-28486075905.251823,9516625404.522018
2048,129926737768.55064,122664374211.89207,29592223140.577538,289597537700.3544,-13082587246.170757,-14589096703.876057,-25920945491.692497,6929408730.912844
2049,114644393803.48842,102119161252.69556,12107156770.513788,253220611560.50842,-15829405919.629837,-17392081043.92685,-26041478171.30853,2181036916.6200743
2050,100224123257.4425,86249470968.17726,0.0,246251025106.8424,-15570891408.933117,-17590499805.649796,-25906162709.65172,1119258578.617242
2051,84583515695.25812,69637152813.83723,0.0,237634629760.77124,-18122585843.999924,-19862934361.46211,-26150280109.527824,-5738075000.3609495
2052,70048722425.40338,49802181024.17475,0.0,224078456927.7067,-19152094033.25529,-21667061352.632885,-33469846408.078842,716781376.5927168
