simulation,depletion_year
0,2055
1,2054
2,2051
3,2059
4,2054
5,2055
6,2058
7,2057
8,2056
9,2053
10,2055
11,2058
12,2054
13,2055
14,2059
15,2058
16,2053
17,2051
18,2053
19,2053
20,2055
21,2050
22,2062
23,2055
24,2055
25,2054
26,2056
27,2054
28,2058
29,2058
30,2054
31,2063
32,2056
33,2059
34,2055
35,2057
36,2055
37,2057
38,2055
39,2053
40,2060
41,2063
42,2055
43,2053
44,2055
45,2054
46,2060
47,2057
48,2058
49,2053
50,2054
51,2053
52,2052
53,2051
54,2062
55,2050
56,2057
57,2056
58,2055
59,2051
60,2054
61,2061
62,2055
63,2053
64,2061
65,2053
66,2057
67,2057
68,2056
69,2056
70,2053
71,2079
72,2051
73,2050
74,2051
75,2050
76,2056
77,2053
78,2061
79,2051
80,2053
81,2054
82,2047
83,2050
84,2058
85,2050
86,2051
87,2048
88,2051
89,2058
90,2054
91,2057
92,2052
93,2057
94,2050
95,2058
96,2053
97,2052
98,2057
99,2054
100,2061
101,2052
102,2052
103,2053
104,2054
105,2056
106,2056
107,2058
108,2058
109,2057
110,2059
111,2053
112,2051
113,2055
114,2060
115,2059
116,2053
117,2056
118,2052
119,2054
120,2055
121,2060
122,2055
123,2055
124,2054
125,2055
126,2060
127,2049
128,2054
129,2052
130,2051
131,2056
132,2068
133,2056
134,2056
135,2052
136,2053
137,2051
138,2053
139,2055
140,2062
141,2058
142,2054
143,2054
144,2055
145,2054
146,2050
147,2054
148,2058
149,2054
150,2051
151,2056
152,2054
153,2057
154,2055
155,2053
156,2059
157,2054
158,2064
159,2054
160,2056
161,2056
162,2062
163,2049
164,2052
165,2056
166,2052
167,2061
168,2055
169,2056
170,2055
171,2051
172,2051
173,2054
174,2048
175,2053
176,2053
177,2050
178,2052
179,2052
180,2062
181,2053
182,2051
183,2050
184,2056
185,2055
186,2053
187,2059
188,2056
189,2053
190,2051
191,2054
192,2052
193,2050
194,2053
195,2049
196,2054
197,2052
198,2056
199,2059
200,2072
201,2054
202,2055
203,2056
204,2057
205,2053
206,2055
207,2056
208,2054
209,2054
210,2065
211,2051
