year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10019599006,10019599006,2651540207,2651540207,7368058799,7368058799,98868058799,98868058799,37.28702983,2.1E+15,2.1E+15
2024,10370518929,10147278795,2997322726,2932801102,7373196203,7214477693,1.06241E+11,1.03954E+11,35.445384,2.18698E+15,2.1399E+15
2025,10725409677,10268620368,3375747364,3231976138,7349662313,7036644231,1.13591E+11,1.08753E+11,33.64911679,2.27756E+15,2.18056E+15
2026,11083392633,10382932512,3788970190,3549510793,7294422443,6833421719,1.20885E+11,1.13245E+11,31.90453703,2.37189E+15,2.22199E+15
2027,11443489545,10489502577,4239251529,3885846154,7204238017,6603656423,1.2809E+11,1.17411E+11,30.21513984,2.47013E+15,2.26421E+15
2028,11693382523,10487830936,4721734192,4234937994,6971648331,6252892941,1.35061E+11,1.21137E+11,28.60415699,2.57244E+15,2.30723E+15
2029,11936499969,10475424388,5239637471,4598284781,6696862498,5877139607,1.41758E+11,1.24406E+11,27.05494214,2.67898E+15,2.35106E+15
2030,12171408078,10451642662,5794875128,4976085241,6376532950,5475557421,1.48135E+11,1.27204E+11,25.56303946,2.78994E+15,2.39573E+15
2031,12434367172,10449644563,6313832302,5306044326,6120534870,5143600236,1.54255E+11,1.29634E+11,24.43130401,2.90321E+15,2.43982E+15
2032,12691386388,10440132564,6862376320,5645097887,5829010068,4795034677,1.60084E+11,1.31688E+11,23.32780352,3.01872E+15,2.48324E+15
2033,12920103858,10405599300,7665109606,6173329567,5254994252,4232269733,1.65339E+11,1.33161E+11,21.57035832,3.13635E+15,2.52596E+15
2034,13074635218,10311453035,8508714605,6710490164,4565920614,3600962871,1.69905E+11,1.33997E+11,19.96836059,3.25601E+15,2.56789E+15
2035,13205112369,10200152063,9408669249,7267628959,3796443119,2932523104,1.73702E+11,1.34174E+11,18.46185894,3.37758E+15,2.60897E+15
2036,13308341229,10070425279,10367333755,7844964157,2941007473,2225461122,1.76643E+11,1.33665E+11,17.03837613,3.50093E+15,2.64915E+15
2037,13380890108,9920951436,11387092198,8442696097,1993797910,1478255339,1.78636E+11,1.32446E+11,15.68761601,3.62593E+15,2.68836E+15
