year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10353304888,10353304888,2651540207,2651540207,7701764681,7701764681,99201764681,99201764681,37.41288343,2.1E+15,2.1E+15
2024,10770983901,10559788139,2991457124,2932801102,7779526778,7626987037,1.06981E+11,1.04884E+11,35.76226803,2.18698E+15,2.1399E+15
2025,11140873841,10708260132,3362547974,3231976138,7778325867,7476283994,1.1476E+11,1.10303E+11,34.1287673,2.27756E+15,2.18056E+15
2026,11513121925,10849071930,3766769250,3549510793,7746352675,7299561137,1.22506E+11,1.1544E+11,32.52282311,2.37189E+15,2.22199E+15
2027,11886859483,10981620763,4206164846,3885846154,7680694637,7095774609,1.30187E+11,1.20272E+11,30.95139383,2.47013E+15,2.26421E+15
2028,12150981569,11005518377,4675713742,4234937994,7475267827,6770580382,1.37662E+11,1.24685E+11,29.44190771,2.57244E+15,2.30723E+15
2029,12408105551,11018042637,5178415514,4598284781,7229690038,6419757856,1.44892E+11,1.2866E+11,27.97991434,2.67898E+15,2.35106E+15
2030,12657004676,11018684252,5715957798,4976085241,6941046879,6042599010,1.51833E+11,1.32179E+11,26.56294444,2.78994E+15,2.39573E+15
2031,12896294326,11006863031,6216876611,5306044326,6679417714,5700818704,1.58512E+11,1.35289E+11,25.49706179,2.90321E+15,2.43982E+15
2032,13126705500,10983839950,6746414534,5645097887,6380290965,5338742063,1.64892E+11,1.37975E+11,24.44148328,3.01872E+15,2.48324E+15
2033,13326490269,10932363635,7525254295,6173329567,5801235974,4759034068,1.70694E+11,1.40028E+11,22.68277022,3.13635E+15,2.52596E+15
2034,13450399738,10817659370,8343651067,6710490164,5106748671,4107169206,1.758E+11,1.4139E+11,21.06995622,3.25601E+15,2.56789E+15
2035,13548050525,10682545381,9217110793,7267628959,4330939732,3414916422,1.80131E+11,1.42032E+11,19.54314172,3.37758E+15,2.60897E+15
2036,13616815540,10526241300,10148297649,7844964157,3468517890,2681277143,1.836E+11,1.41929E+11,18.09168657,3.50093E+15,2.64915E+15
2037,13653904446,10347953168,11139958203,8442696097,2513946243,1905257070,1.86114E+11,1.41051E+11,16.70686399,3.62593E+15,2.68836E+15
2038,13656356226,10146873834,12190710346,9057877356,1465645880,1088996478,1.87579E+11,1.39374E+11,15.38707812,3.75243E+15,2.72653E+15
2039,13621155389,9922273621,13290795621,9681624431,330359768.4,240649190.3,1.8791E+11,1.36882E+11,14.13833886,3.8803E+15,2.76361E+15
2040,13545476313,9673672073,14442386006,10314211398,-896909692.6,-640539324.4,1.87013E+11,1.33558E+11,12.94888964,4.00935E+15,2.79954E+15
2041,13426289016,9400542126,15577755222,10906911360,-2151466206,-1506369234,1.84861E+11,1.29432E+11,11.86701124,4.14025E+15,2.83426E+15
2042,13257942137,9100659294,16764278337,11507516316,-3506336200,-2406857022,1.81355E+11,1.24488E+11,10.81794614,4.27289E+15,2.8677E+15
2043,13043260291,8777740266,17999304216,12113015753,-4956043925,-3335275487,1.76399E+11,1.18711E+11,9.800324172,4.40716E+15,2.89982E+15
2044,12920773284,8524813747,19327850869,12752048594,-6407077585,-4227234847,1.69992E+11,1.12157E+11,8.79518058,4.54295E+15,2.93056E+15
2045,12752074233,8248539405,20715727576,13399741257,-7963653343,-5151201852,1.62028E+11,1.04806E+11,7.821510718,4.68015E+15,2.95986E+15
2046,12534044242,7948538329,22165099651,14056129110,-9631055409,-6107590782,1.52397E+11,96643605155,6.87554905,4.81863E+15,2.98768E+15
2047,12263182991,7624284376,23678194567,14721242358,-11415011576,-7096957982,1.40982E+11,87651674523,5.954094932,4.95825E+15,3.01398E+15
2048,11935809383,7275244284,25257306568,15395108060,-13321497186,-8119863776,1.27661E+11,77813150462,5.054407553,5.09889E+15,3.03869E+15
2049,11574134402,6916462958,26426239556,15791773335,-14852105155,-8875310376,1.12809E+11,67412092037,4.268810767,5.24039E+15,3.06178E+15
2050,11163030614,6539995932,27619987869,16181502547,-16456957254,-9641506614,96351658687,56448779696,3.488475779,5.38262E+15,3.08322E+15
2051,10700076150,6145851455,28649725772,16455673431,-17949649622,-10309821976,78402009065,45032118902,2.736571013,5.52705E+15,3.10387E+15
2052,10177826593,5731259411,29685296181,16716155609,-19507469587,-10984896198,58894539477,33164239981,1.983963344,5.67368E+15,3.12374E+15
2053,9609095039,5304901641,30737513018,16969286137,-21128417979,-11664384496,37766121498,20849576269,1.22866549,5.82245E+15,3.14279E+15
2054,8991810097,4866780974,31815284741,17219894637,-22823474643,-12353113663,14942646855,8087647385,0.469668808,5.97334E+15,3.16102E+15
2055,8323558376,4416757278,32919968659,17468431721,-24596410283,-13051674443,0,0,0,6.12632E+15,3.17841E+15
2056,7868772809,4093561676,34024073164,17700300335,-26155300355,-13606738659,0,0,0,6.28134E+15,3.19494E+15
2057,7847044237,4002213578,35153007114,17929023734,-27305962876,-13926810156,0,0,0,6.43836E+15,3.21059E+15
2058,7821393618,3910912784,36270772506,18136387811,-28449378888,-14225475027,0,0,0,6.59734E+15,3.22536E+15
2059,7789640004,3818661863,37379420656,18324257352,-29589780652,-14505595489,0,0,0,6.75822E+15,3.23923E+15
2060,7751371314,3725393789,38480251587,18494029568,-30728880273,-14768635779,0,0,0,6.92096E+15,3.25219E+15
