year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,16539116918.682516,16539116918.682516,2651540206.87046,2651540206.87046,13887576711.812056,13887576711.812056,102937576711.81206,102937576711.81206,38.82180494381658,2100000000000000.0,2100000000000000.0,0
2024,3248175045.3366284,3184485338.565322,2991457123.871422,2932801101.8347273,256717921.46520653,251684236.73059464,103194294633.27727,101170877091.4483,34.496330838172746,2186977799999999.8,2139899999999999.8,0
2025,15073359946.337374,14488043008.782558,3362547973.580077,3231976137.62022,11710811972.757298,11256066871.162338,114905106606.03456,110443201274.54303,34.17203487024039,2277558046520399.5,2180558099999999.5,0
2026,15422959952.01236,14533399627.605862,3766769249.600578,3549510792.983636,11656190702.411783,10983888834.622227,126561297308.44635,119261537142.99776,33.599429357629674,2371889945691181.0,2221988703899999.2,0
2027,22260481819.408825,20565244310.00722,4206164845.5532637,3885846153.677902,18054316973.85556,16679398156.329319,144615614282.3019,133602473786.71927,34.38182277501292,2470128883461818.5,2264206489274099.0,0
2028,23292811538.138905,21097017057.65416,4675713742.026068,4234937994.098137,18617097796.11284,16862079063.556023,163232712078.41473,147844896501.51608,34.91075824665074,2572436681557039.5,2307226412570306.5,0
2029,7200546587.961892,6393879306.2085905,5178415513.720413,4598284781.252735,2022131074.241479,1795594524.9558554,165254843152.65622,146741571487.2265,31.91224086109102,2678981864033769.0,2351063714409142.0,0
2030,19709789814.87656,17158558141.681637,5715957797.838782,4976085241.436124,13993832017.037779,12182472900.245514,179248675169.694,156046758672.03622,31.35934195271147,2789939934878319.5,2395733924982915.5,0
2031,9949133448.751453,8491489600.194831,6216876611.14029,5306044326.485249,3732256837.611162,3185445273.7095823,182980932007.30518,156172463579.62744,29.432936095179006,2903214620967106.5,2439815429202601.0,0
2032,12842843831.790934,10746317205.031252,6746414534.174623,5645097887.230453,6096429297.616311,5101219317.800799,189077361304.92148,158211477729.20026,28.026347973005752,3018717504990680.0,2483244143842407.5,0
2033,26422650569.562946,21675776472.936264,7525254294.843468,6173329566.9030485,18897396274.71948,15502446906.033215,207974757579.64096,170611738797.406,27.63690759555482,3136351130222557.5,2525955943116497.0,0
2034,19998905620.1786,16084380612.624706,8343651067.072455,6710490164.33766,11655254553.106146,9373890448.287046,219630012132.7471,176640301033.9792,26.323010198676595,3256008947634718.0,2567886811772230.5,0
2035,27637113003.950867,21791674996.394306,9217110793.16585,7267628958.991299,18420002210.78502,14524046037.403008,238050014343.5321,187700811756.99045,25.826966788772626,3377575297703607.5,2608973000760586.0,0
2036,1566156128.2070785,1210689626.4575205,10148297649.225107,7844964157.044473,-8582141521.018028,-6634274530.586952,229467872822.51407,177386129152.73703,22.6114645780059,3500925428399838.0,2649151184972299.0,0
2037,14317706769.58039,10851032370.043655,11139958203.275541,8442696097.219967,3177748566.3048487,2408336272.8236885,232645621388.8189,176316306030.409,20.883886379431196,3625925550709803.0,2688358622509889.0,0
2038,16840813992.482796,12512972861.411476,12190710346.18854,9057877356.241522,4650103646.294256,3455095505.1699543,237295725035.11316,176314219064.39444,19.46529105330637,3752432932877891.5,2726533314949529.5,0
2039,10872812559.321976,7920254792.137642,13290795620.821407,9681624430.91883,-2417983061.499432,-1761369638.781189,234877741973.61374,171095707875.33102,17.67221080472063,3880296034384485.0,2763614168032843.5,0
2040,27002223887.47565,19283977403.731503,14442386005.595083,10314211397.863508,12559837881.880568,8969766005.867994,247437579855.4943,176710656079.7219,17.132735529962655,4009354680488112.5,2799541152217270.0,0
2041,7621286062.131944,5336114885.696516,15577755222.343004,10906911359.843147,-7956469160.211061,-5570796474.146631,239481110695.28323,167674944780.48267,15.373274729069955,4140252092096688.0,2834255462504764.0,0
2042,23780532429.97306,16323688943.646732,16764278337.156406,11507516315.97369,7016254092.816654,4816172627.673042,246497364788.09988,169203373392.85214,14.70372656851934,4272889208119097.5,2867699676962320.5,0
2043,6697485550.850484,4507215779.627803,17999304216.191505,12113015753.387877,-11301818665.34102,-7605799973.760074,235195546122.75885,158279860215.31064,13.066924326507337,4407160478595033.0,2899817913344299.0,0
2044,8845191693.17625,5835843573.875624,19327850869.192234,12752048593.680416,-10482659176.015985,-6916205019.804792,224712886946.74286,148260128524.61737,11.626377317766124,4542953907261503.0,2930555983225748.5,0
2045,19639869111.43518,12703834004.21981,20715727576.374176,13399741256.608877,-1075858464.938997,-695907252.3890667,223637028481.80386,144657159928.60837,10.79551889535644,4680151115260800.0,2959861543058006.0,0
