year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,11194123005.94177,11194123005.94177,2651540206.87046,2651540206.87046,8542582799.07131,8542582799.07131,97592582799.0713,97592582799.0713,36.80599771642051,2100000000000000.0,2100000000000000.0,0
2024,9594190773.547415,9406069385.8308,2991457123.871422,2932801101.8347273,6602733649.675993,6473268283.996072,104195316448.7473,102152271028.18362,34.8309576685164,2186977799999999.8,2139899999999999.8,0
2025,10763722678.950674,10345754208.910683,3362547973.580077,3231976137.62022,7401174705.370597,7113778071.2904625,111596491154.11789,107263063393.03911,33.188074053052695,2277558046520399.5,2180558099999999.5,0
2026,8753273411.401878,8248405035.960791,3766769249.600578,3549510792.983636,4986504161.8013,4698894242.977155,116582995315.91919,109858760314.58414,30.95039477883639,2371889945691181.0,2221988703899999.2,0
2027,14943678890.05791,13805649390.588978,4206164845.5532637,3885846153.677902,10737514044.504646,9919803236.911076,127320509360.42383,117624470211.99355,30.269976103058926,2470128883461818.5,2264206489274099.0,0
2028,12264716700.22866,11108531789.2326,4675713742.026068,4234937994.098137,7589002958.202594,6873593795.134462,134909512318.62642,122191701846.10852,28.853244608633332,2572436681557039.5,2307226412570306.5,0
2029,21616688033.553936,19195000351.442604,5178415513.720413,4598284781.252735,16438272519.83352,14596715570.189869,151347784838.45993,134392501693.82565,29.226659088568326,2678981864033769.0,2351063714409142.0,0
2030,-2150295762.892839,-1871961863.4167318,5715957797.838782,4976085241.436124,-7866253560.731622,-6848047104.852856,143481531277.7283,124909307496.937,25.1019227839609,2789939934878319.5,2395733924982915.5,0
2031,10999587927.898924,9388042383.520721,6216876611.14029,5306044326.485249,4782711316.758634,4081998057.035473,148264242594.48694,126542103446.18939,23.848670621643965,2903214620967106.5,2439815429202601.0,0
2032,-10411071570.754768,-8711518960.20618,6746414534.174623,5645097887.230453,-17157486104.929392,-14356616847.436634,131106756489.55754,109704268884.12158,19.43354589692398,3018717504990680.0,2483244143842407.5,0
2033,10004725573.226744,8207359614.714046,7525254294.843468,6173329566.9030485,2479471278.383275,2034030047.810997,133586227767.94081,109587234836.16548,17.751722737061275,3136351130222557.5,2525955943116497.0,0
2034,34216579784.24651,27519130444.656105,8343651067.072455,6710490164.33766,25872928717.174053,20808640280.318443,159459156485.11487,128247105805.97089,19.11143637278979,3256008947634718.0,2567886811772230.5,0
2035,19171249850.939953,15116399674.836998,9217110793.16585,7267628958.991299,9954139057.774105,7848770715.845699,169413295542.88898,133581227388.36618,18.38030369218332,3377575297703607.5,2608973000760586.0,0
2036,19219967844.87087,14857660275.077995,10148297649.225107,7844964157.044473,9071670195.645763,7012696118.033523,178484965738.53473,137974683753.68665,17.58767548093776,3500925428399838.0,2649151184972299.0,0
2037,18903979457.9865,14326853896.538036,11139958203.275541,8442696097.219967,7764021254.710959,5884157799.318069,186248986993.2457,141153455597.05005,16.719002315330226,3625925550709803.0,2688358622509889.0,0
2038,-11736311427.750605,-8720252266.551285,12190710346.18854,9057877356.241522,-23927021773.939148,-17778129622.79281,162321965219.30655,120607611158.62881,13.315217949547705,3752432932877891.5,2726533314949529.5,0
2039,10512616720.985811,7657871641.584374,13290795620.821407,9681624430.91883,-2778178899.8355956,-2023752789.3344564,159543786319.47095,116219003248.53693,12.004080934743222,3880296034384485.0,2763614168032843.5,0
2040,12325071804.765293,8802104862.655508,14442386005.595083,10314211397.863508,-2117314200.8297906,-1512106535.2080002,157426472118.64114,112428092728.06348,10.90030913573789,4009354680488112.5,2799541152217270.0,0
2041,17643687588.135452,12353393273.797638,15577755222.343004,10906911359.843147,2065932365.7924473,1446481913.9544907,159492404484.4336,111670102235.58534,10.238471603127733,4140252092096688.0,2834255462504764.0,0
2042,11575725525.119595,7945934067.099357,16764278337.156406,11507516315.97369,-5188552812.036812,-3561582248.8743334,154303851672.3968,105918910138.95445,9.204324133082256,4272889208119097.5,2867699676962320.5,0
2043,10550384314.669178,7100106197.045256,17999304216.191505,12113015753.387877,-7448919901.522327,-5012909556.342621,146854931770.87445,98829159207.3382,8.158922700954696,4407160478595033.0,2899817913344299.0,0
2044,1835165701.166154,1210797949.39997,19327850869.192234,12752048593.680416,-17492685168.02608,-11541250644.280445,129362246602.84837,85350081911.93347,6.693048672527076,4542953907261503.0,2930555983225748.5,0
2045,-12597134973.29111,-8148318643.135189,20715727576.374176,13399741256.608877,-33312862549.665283,-21548059899.744064,96049384053.18309,62128490994.30835,4.636544079809452,4680151115260800.0,2959861543058006.0,0
2046,13388328922.26711,8490288014.137906,22165099651.215816,14056129110.175995,-8776770728.948708,-5565841096.038089,87272613324.23438,55344444192.49951,3.9373887190914223,4818627426459137.0,2987684241562751.5,0
2047,12397315272.8597,7707677297.889294,23678194566.975796,14721242357.885654,-11280879294.116096,-7013565059.996361,75991734030.11829,47245693952.258064,3.2093550804800244,4958251974768217.0,3013975862888503.5,0
2048,12210417479.656336,7442626395.888639,25257306568.41237,15395108059.844007,-13046889088.756033,-7952481663.955368,62944844941.36225,38366826132.37607,2.4921439968616124,5098887833780542.0,3038690464964189.0,0
2049,9451250838.867453,5647871717.054907,26426239556.012993,15791773334.671999,-16974988717.14554,-10143901617.617092,45969856224.21671,27470633806.281013,1.7395534512876536,5240392168943620.0,3061784512497917.0,0
2050,9507972945.88985,5570360463.924995,27619987868.560837,16181502546.620905,-18112014922.670986,-10611142082.69591,27857841301.545727,16320851845.030573,1.0086116414719948,5382616412408749.0,3083217004085402.0,0
2051,8662501780.786858,4975520587.288995,28649725772.260815,16455673430.99807,-19987223991.473957,-11480152843.709076,7870617310.07177,4520682298.477759,0.27471876598875666,5527053541219325.0,3103874558012774.0,0
2052,7310885481.626288,4116849588.01319,29685296180.861214,16716155609.244026,-22374410699.234924,-12599306021.230837,0.0,0.0,0.0,5673675217560791.0,3123739355184055.5,0
2053,7888196595.752931,4354843707.065633,30737513018.264668,16969286137.02498,-22849316422.511734,-12614442429.959347,0.0,0.0,0.0,5822450329115670.0,3142794165250678.0,0
2054,7888284026.906404,4269501936.5296617,31815284740.566,17219894637.130676,-23927000713.6596,-12950392700.601015,0.0,0.0,0.0,5973344951845031.0,3161022371409132.0,0
2055,7886934234.9734955,4185069967.731561,32919968659.37056,17468431721.424004,-25033034424.397064,-13283361753.692442,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5,0
2056,7868772808.504798,4093561676.4783144,34024073163.715504,17700300335.28768,-26155300355.21071,-13606738658.809368,0.0,0.0,0.0,6281342775947411.0,3194935716023032.5,0
2057,7847044237.426676,4002213578.00459,35153007113.57718,17929023734.39247,-27305962876.15051,-13926810156.387882,0.0,0.0,0.0,6438363782660543.0,3210590901031545.0,0
2058,7821393618.092165,3910912783.9982615,36270772505.66472,18136387810.705532,-28449378887.57255,-14225475026.707272,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0,0
2059,7789640003.953655,3818661862.8480887,37379420655.7838,18324257352.22037,-29589780651.830143,-14505595489.372282,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0,0
2060,7751371314.38865,3725393789.4996853,38480251587.279205,18494029568.101227,-30728880272.890556,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0,0
2061,7706094689.418959,3631013086.850941,38911433433.107506,18334568898.78883,-31205338743.68855,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5,0
2062,7655387967.689451,3536392871.792754,39319640848.52517,18163638238.199387,-31664252880.835716,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0,0
2063,7598943935.531667,3441488873.9322677,39707069991.16333,17982951414.087185,-32108126055.631664,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0,0
2064,7536513092.073881,3346288767.959124,40075710374.27169,17794024617.88939,-32539197282.197815,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5,0
2065,7467712178.438597,3250725940.9620333,40427338374.061264,17598187294.37008,-32959626195.62267,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0,0
2066,7477281843.974076,3191070250.8598185,40822162586.67205,17421623435.402966,-33344880742.697975,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5,0
2067,7487824827.380432,3132911437.984845,41210658082.04892,17242569778.078228,-33722833254.66849,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0,0
2068,7499362510.660693,3076214522.735862,41594713742.823074,17062018578.621893,-34095351232.162384,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5,0
2069,7509783873.676159,3020087580.904511,41973981536.45151,16879993151.82674,-34464197662.77535,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0,0
2070,7519066059.297624,2964529849.4663877,42350061858.678925,16697289466.097525,-34830995799.3813,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5,0
2071,7543188230.104102,2915725939.419271,42377340431.39922,16380435827.693314,-34834152201.29512,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5,0
2072,7567761660.148653,2867867151.2773805,42370330036.539154,16056594163.165693,-34802568376.3905,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0,0
2073,7592831241.696972,2820948510.5751038,42328787908.50719,15726324924.649014,-34735956666.81021,-12905376414.07391,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5,0
2074,7613644795.184413,2773216986.295911,42286468311.44284,15402550994.48944,-34672823516.25843,-12629334008.193531,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5,0
2075,7637405641.284169,2727325204.5855594,42257150468.342674,15090070759.538347,-34619744827.05851,-12362745554.952787,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0,0
2076,7664177923.620571,2683221189.631971,42242338701.88297,14789001434.214937,-34578160778.262405,-12105780244.582966,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0,0
2077,7694067871.061477,2640868265.6625524,42238826968.390945,14497815666.427979,-34544759097.32947,-11856947400.765427,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0,0
2078,7727181729.064052,2600229488.900256,42243550902.01248,14215134394.746078,-34516369172.94843,-11614904905.845821,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0,0
2079,7763437385.213393,2561205560.063579,42253360575.077675,13939642540.6071,-34489923189.86428,-11378436980.54352,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5,0
2080,7802939238.153118,2523762218.996824,42265420422.80335,13670216821.826122,-34462481184.65023,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0,0
