year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10238948320.83347,10238948320.83347,2651540206.87046,2651540206.87046,7587408113.963009,7587408113.963009,99087408113.96301,99087408113.96301,37.36975507941219,2100000000000000.0,2100000000000000.0
2024,10662191663.365004,10432672860.435425,2997322726.0750914,2932801101.8347273,7664868937.289913,7499871758.6006975,106752277051.25293,104454282829.0146,35.61587683654005,2186977799999999.8,2139899999999999.8
2025,11035405980.385874,10565414099.58015,3375747364.126118,3231976137.62022,7659658616.259756,7333437961.95993,114411935667.51268,109539194154.73352,33.89232763190813,2277558046520399.5,2180558099999999.5
2026,11411473375.923666,10690278856.41172,3788970190.182892,3549510792.983636,7622503185.740775,7140768063.428084,122034438853.25345,114321975651.22995,32.20781181373267,2371889945691181.0,2221988703899999.2
2027,11789545994.159985,10806710015.941204,4239251528.6739926,3885846153.677902,7550294465.4859915,6920863862.263302,129584733318.73944,118781896789.10278,30.567833128616602,2470128883461818.5,2264206489274099.0
2028,12057453922.97217,10814367700.040901,4721734191.661465,4234937994.098137,7335719731.310706,6579429705.942764,136920453050.05014,122804377640.4856,28.99791633587725,2572436681557039.5,2307226412570306.5
2029,12318535834.972748,10810697528.442875,5239637470.962562,4598284781.252735,7078898364.010186,6212412747.19014,143999351414.06033,126373251925.74747,27.48269364284979,2678981864033769.0,2351063714409142.0
2030,12571549142.822744,10795245587.37997,5794875127.6877575,4976085241.436124,6776674015.134986,5819160345.943847,150776025429.1953,129472048727.30144,26.018856680585145,2789939934878319.5,2395733924982915.5
2031,12843562109.780645,10793525485.52757,6313832302.136961,5306044326.485249,6529729807.643684,5487481159.042322,157305755236.839,132197256777.85365,24.914465210550137,2903214620967106.5,2439815429202601.0
2032,13108483076.05343,10783242810.713913,6862376320.034495,5645097887.230453,6246106756.018936,5138144923.48346,163551861992.8579,134540314831.32767,23.833123449580185,3018717504990680.0,2483244143842407.5
2033,13344043899.506504,10747032329.500063,7665109606.189099,6173329566.9030485,5678934293.317404,4573702762.597014,169230796286.17532,136295178023.34468,22.078066065687043,3136351130222557.5,2525955943116497.0
2034,13503998606.763018,10650075133.757774,8508714604.526819,6710490164.33766,4995284002.236198,3939584969.4201145,174226080288.41153,137405290045.15912,20.476192748986964,3256008947634718.0,2567886811772230.5
2035,13638528783.772957,10534940077.028664,9408669249.39748,7267628958.991299,4229859534.3754754,3267311118.037365,178455939822.78702,137846439467.85043,18.967181765286853,3377575297703607.5,2608973000760586.0
2036,13744587744.58028,10400533131.93624,10367333755.083323,7844964157.044473,3377253989.4969587,2555568974.8917665,181833193812.28397,137593225193.39728,17.539050840639458,3500925428399838.0,2649151184972299.0
2037,13818903221.954527,10245706126.83945,11387092197.992348,8442696097.219967,2431811023.9621787,1803010029.619484,184265004836.24615,136619025308.27644,16.181919109141297,3625925550709803.0,2688358622509889.0
2038,13857964798.862167,10069254634.890259,12466041440.670525,9057877356.241522,1391923358.1916425,1011377278.648737,185656928194.4378,134899093182.4869,14.893013879187913,3752432932877891.5,2726533314949529.5
2039,13858139984.798687,9870007768.787992,13593637389.851383,9681624430.91883,264502594.94730347,188383337.8691616,185921430789.3851,132416469186.21938,13.677092117242193,3880296034384485.0,2763614168032843.5
2040,13815929895.114874,9647004912.22545,14771467713.848593,10314211397.863508,-955537818.7337185,-667206485.6380577,184965892970.6514,129152861343.98878,12.52183578191364,4009354680488112.5,2799541152217270.0
2041,13692165547.93622,9373123697.428108,15932707257.092503,10906911359.843147,-2240541709.1562824,-1533787662.415039,182725351261.49512,125086664635.61319,11.468568920084454,4140252092096688.0,2834255462504764.0
2042,13517064787.682468,9071820128.511822,17146266282.27098,11507516315.97369,-3629201494.5885124,-2435696187.4618683,179096149766.90662,120198288749.41382,10.445198203418183,4272889208119097.5,2867699676962320.5
2043,13293404862.663258,8746777826.065926,18409433247.263252,12113015753.387877,-5116028384.599995,-3366237927.321951,173980121382.3066,114475221630.9269,9.450596281021879,4407160478595033.0,2899817913344299.0
2044,13162761382.379982,8490997248.122874,19768251934.39287,12752048593.680416,-6605490552.012888,-4261051345.557542,167374630830.29373,107969558096.52765,8.466840233814239,4542953907261503.0,2930555983225748.5
2045,12983534319.104908,8211158780.48971,21187752560.051144,13399741256.608877,-8204218240.946236,-5188582476.119167,159170412589.3475,100663925461.65305,7.512378301484341,4680151115260800.0,2959861543058006.0
2046,12752409952.766947,7906852073.397772,22670149776.174778,14056129110.175995,-9917739823.40783,-6149277036.778223,149252672765.93967,92540845964.8424,6.583665050276683,4818627426459137.0,2987684241562751.5
2047,12465676522.92149,7577518921.155191,24217721810.8426,14721242357.885654,-11752045287.921114,-7143723436.730463,137500627478.01855,83582596136.64444,5.677686305590382,4958251974768217.0,3013975862888503.5
2048,12119428852.381245,7222593258.584678,25832815185.07693,15395108059.844007,-13713386332.695684,-8172514801.25933,123787241145.32288,73771206901.33327,4.791860285395149,5098887833780542.0,3038690464964189.0
2049,11736234843.02002,6857086439.132055,27028383277.44795,15791773334.671999,-15292148434.42793,-8934686895.539944,108495092710.89494,63390025752.826004,4.014116996832049,5240392168943620.0,3061784512497917.0
2050,11300866334.895788,6473250288.525489,28249332132.466114,16181502546.620905,-16948465797.570328,-9708252258.095417,91546626913.32462,52438831813.30263,3.240665176933964,5382616412408749.0,3083217004085402.0
2051,10810738460.32257,6071078524.946367,29302533465.84258,16455673430.99807,-18491795005.520004,-10384594906.051702,73054831907.80461,41026024518.75479,2.4931234015298807,5527053541219325.0,3103874558012774.0
2052,10258274837.61063,5647869431.679416,30361700202.566807,16716155609.244026,-20103425364.956173,-11068286177.56461,52951406542.848434,29153306487.88126,1.744019807506428,5673675217560791.0,3123739355184055.5
2053,9656477874.608555,5212293897.8856735,31437892670.74011,16969286137.02498,-21781414796.131554,-11756992239.139307,31169991746.71688,16824680788.195265,0.9914784070666235,5822450329115670.0,3142794165250678.0
2054,9003124854.069212,4764345489.123642,32540222312.99628,17219894637.130676,-23537097458.92707,-12455549148.007034,7632894287.78981,4039235938.458911,0.2345679821843534,5973344951845031.0,3161022371409132.0
2055,8295631382.243088,4303871024.745059,33670077368.40801,17468431721.424004,-25374445986.16492,-13164560696.678944,0.0,0.0,0.0,6126322316061783.0,3178407994451882.5
2056,8048069304.020032,4093561676.4783144,34799339806.922516,17700300335.28768,-26751270502.902485,-13606738658.809368,0.0,0.0,0.0,6281342775947411.0,3194935716023032.5
2057,8025845629.481476,4002213578.00459,35953997450.40254,17929023734.39247,-27928151820.921066,-13926810156.387882,0.0,0.0,0.0,6438363782660543.0,3210590901031545.0
2058,7999610539.573676,3910912783.9982615,37097232051.283714,18136387810.705532,-29097621511.71004,-14225475026.707272,0.0,0.0,0.0,6597339861181997.0,3225359619176290.0
2059,7967133393.0784025,3818661862.8480887,38231141666.29869,18324257352.22037,-30264008273.22029,-14505595489.372282,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0
2060,7927992719.775405,3725393789.4996853,39357055940.89921,18494029568.101227,-31429063221.123806,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0
2061,7881684429.464322,3631013086.850941,39798062621.650085,18334568898.78883,-31916378192.185764,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5
2062,7829822313.148336,3536392871.792754,40215571380.594734,18163638238.199387,-32385749067.446392,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0
2063,7772092157.041504,3441488873.9322677,40611828416.63203,17982951414.087185,-32839736259.590527,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0
2064,7708238775.188412,3346288767.959124,40988868575.7163,17794024617.88939,-33280629800.527885,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5
2065,7637870175.8411045,3250725940.9620333,41348508710.25948,17598187294.37008,-33710638534.41838,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0
2066,7647657894.119433,3191070250.8598185,41752329319.05407,17421623435.402966,-34104671424.93464,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5
2067,7658441108.121214,3132911437.984845,42149677005.55905,17242569778.078228,-34491235897.43784,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0
2068,7670241687.056091,3076214522.735862,42542483692.15837,17062018578.621893,-34872242005.10229,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5
2069,7680900509.4458,3020087580.904511,42930393416.09974,16879993151.82674,-35249492906.653946,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0
2070,7690394197.342543,2964529849.4663877,43315043039.46834,16697289466.097525,-35624648842.12579,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5
2071,7715066011.758652,2915725939.419271,43342943177.02606,16380435827.693314,-35627877165.2674,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5
2072,7740199367.727739,2867867151.2773805,43335773044.521866,16056594163.165693,-35595573676.79413,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0
2073,7765840180.422902,2820948510.5751038,43293284344.74947,15726324924.649014,-35527444164.32657,-12905376414.07391,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5
2074,7787127987.938301,2773216986.295911,43250000460.66987,15402550994.48944,-35462872472.73157,-12629334008.193531,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5
2075,7811430244.565447,2727325204.5855594,43220014586.27031,15090070759.538347,-35408584341.704865,-12362745554.952787,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0
2076,7838812555.494195,2683221189.631971,43204865321.46325,14789001434.214937,-35366052765.969055,-12105780244.582966,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0
2077,7869383570.105002,2640868265.6625524,43201273570.219574,14497815666.427979,-35331890000.11458,-11856947400.765427,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0
2078,7903251954.745637,2600229488.900256,43206105142.57514,14215134394.746078,-35302853187.8295,-11614904905.845821,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0
2079,7940333726.001918,2561205560.063579,43216138337.15321,13939642540.6071,-35275804611.1513,-11378436980.54352,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5
2080,7980735661.326891,2523762218.996824,43228472978.48221,13670216821.826122,-35247737317.15531,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0
2081,8024102995.162591,2487721909.837517,43239152556.50601,13405484356.62836,-35215049561.34342,-10917762446.790844,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0
2082,8070555043.868975,2453062247.151516,43245466704.23794,13144550920.720572,-35174911660.368965,-10691488673.569056,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5
2083,8120212468.666804,2419760515.9550023,43244776071.96532,12886608825.081358,-35124563603.29851,-10466848309.126356,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0
2084,8206626898.728157,2397560144.9073844,43258773160.65969,12638019460.06105,-35052146261.931526,-10240459315.153666,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5
2085,8288779421.768828,2374079358.251086,43257592872.9243,12389877097.890406,-34968813451.15547,-10015797739.63932,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5
2086,8366921069.983961,2349471329.9979157,43239145998.39992,12141758360.943811,-34872224928.415955,-9792287030.945896,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0
2087,8441336138.86146,2323889643.284666,43201384082.669044,11893288857.80144,-34760047943.80759,-9569399214.516773,0.0,0.0,0.0,1.2580499377623994e+16,3463396283488457.5
2088,8512344277.740757,2297488331.5215673,43142293326.979485,11644138474.63922,-34629949049.23873,-9346650143.117653,0.0,0.0,0.0,1.2857773583906828e+16,3470323076055434.5
2089,8586015222.759537,2271933506.664071,42933337458.09062,11360530513.082638,-34347322235.331085,-9088597006.418568,0.0,0.0,0.0,1.3141158913696134e+16,3477263722207545.5
2090,8655042996.532324,2245292989.7614465,42741373638.746635,11087975720.317278,-34086330642.214314,-8842682730.555832,0.0,0.0,0.0,1.3430790056153996e+16,3484218249651960.5
2091,8721592241.407398,2218193341.3844104,42564333342.52255,10825537148.204733,-33842741101.11515,-8607343806.820322,0.0,0.0,0.0,1.3726804668991632e+16,3491186686151264.5
2092,8786334407.393822,2190842593.1325283,42400301481.5358,10572370927.43006,-33613967074.141975,-8381528334.297531,0.0,0.0,0.0,1.4029343443896208e+16,3498169059523567.0
2093,8849747332.925964,2163386657.236718,42247751535.50124,10327777566.044561,-33398004202.57528,-8164390908.807843,0.0,0.0,0.0,1.433855017339968e+16,3505165397642614.0
