year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10149417988.152435,10149417988.152435,2651540206.87046,2651540206.87046,7497877781.281975,7497877781.281975,98997877781.28198,98997877781.28198,37.33598967300837,2100000000000000.0,2100000000000000.0
2024,10560686936.268633,10333353166.60336,2997322726.0750885,2932801101.8347244,7563364210.193545,7400552064.768635,106561241991.47552,104267360069.9369,35.55214160438924,2186977799999999.8,2139899999999999.8
2025,10986793082.347553,10518871598.174366,3375747342.261469,3231976116.6867747,7611045740.086084,7286895481.487591,114172287731.56161,109309752692.77617,33.82133677548146,2277558046520399.5,2180558099999999.5
2026,11427719450.72957,10705498194.377636,3788970108.689399,3549510716.6404557,7638749342.040172,7155987477.737181,121811037073.60179,114112692656.57883,32.14885142383351,2371889945691181.0,2221988703899999.2
2027,11883357079.007088,10892700535.909122,4239251327.9678164,3885845969.7036047,7644105751.039271,7006854566.205518,129455142824.64107,118663109611.78168,30.537265382351936,2470128883461818.5,2264206489274099.0
2028,12242254946.245802,10980116309.141308,4721733783.636628,4234937628.1394,7520521162.609174,6745178681.001907,136975663987.25024,122853896500.74915,29.009611779034497,2572436681557039.5,2307226412570306.5
2029,12608220730.368788,11064923828.113506,5239636730.488668,4598284131.415823,7368583999.880119,6466639696.697683,144344247987.13037,126675931771.7947,27.548522046807676,2678981864033769.0,2351063714409142.0
2030,12980441206.490705,11146363034.870228,5794873882.46682,4976084172.159324,7185567324.023887,6170278862.710904,151529815311.15427,130119331476.99142,26.14894100967898,2789939934878319.5,2395733924982915.5
2031,13338537954.736414,11209495319.40895,6313830349.633516,5306042685.632383,7024707605.102898,5903452633.776567,158554522916.25717,133246701290.06099,25.11225581559384,2903214620967106.5,2439815429202601.0
2032,13697328124.901749,11267635940.168964,6862373389.948746,5645095476.896174,6834954734.953003,5622540463.27279,165389477651.21017,136051966158.32072,24.100914982774707,3018717504990680.0,2483244143842407.5
2033,14034575385.372768,11303172901.206135,7665105231.113438,6173326043.302562,6369470154.259331,5129846857.903573,171758947805.4695,138331301878.7776,22.40790473538218,3136351130222557.5,2525955943116497.0
2034,14302977154.522387,11280198241.119205,8508708278.814638,6710485175.49606,5794268875.707748,4569713065.623145,177553216681.17725,140029272288.86792,20.867235174022497,3256008947634718.0,2567886811772230.5
2035,14551976439.828838,11240523243.117702,9408660331.565605,7267622070.504578,5143316108.263233,3972901172.613125,182696532789.4405,141122041514.30554,19.417911408333275,3377575297703607.5,2608973000760586.0
2036,14777761836.284302,11182336236.657438,10367321449.883121,7844954845.696271,4410440386.401181,3337381390.9611673,187106973175.84167,141583895413.59592,18.04776422534396,3500925428399838.0,2649151184972299.0
2037,14976115970.669043,11103694750.04106,11387075529.911028,8442683739.056648,3589040440.7580147,2661011010.9844112,190696013616.5997,141387148002.554,16.746706660168233,3625925550709803.0,2688358622509889.0
2038,15142381845.462318,11002517382.149693,12466019231.906593,9057861219.26164,2676362613.5557256,1944656162.888052,193372376230.15543,140505169689.4992,15.51195876027703,3752432932877891.5,2726533314949529.5
2039,15271582346.088352,10876685945.077587,13593608250.87155,9681603677.631763,1677974095.2168028,1195082267.4458237,195050350325.37222,138918244088.16647,14.348681139377886,3880296034384485.0,2763614168032843.5
2040,15358717439.364029,10724259873.0482,14771430019.330984,10314185077.579655,587287420.0330454,410074795.4685459,195637637745.40527,136604431744.65135,13.244326208727212,4009354680488112.5,2799541152217270.0
2041,15399874748.716772,10542154960.022272,15932659370.874912,10906878578.802097,-532784622.1581404,-364723618.7798252,195104853123.24713,133561189856.36855,12.245592438880673,4140252092096688.0,2834255462504764.0
2042,15388511872.32186,10327819977.484005,17146163936.966843,11507447628.118397,-1757652064.6449845,-1179627650.6343918,193347201058.60214,129762715345.80537,11.276411550093068,4272889208119097.5,2867699676962320.5
2043,15324477104.908594,10083180187.623905,18409251489.76464,12112896160.81735,-3084774384.8560476,-2029715973.1934452,190262426673.7461,125188632405.04712,10.335152777913327,4407160478595033.0,2899817913344299.0
2044,15346067101.741568,9899397986.871067,19767960643.015755,12751860688.254675,-4421893541.274187,-2852462701.383608,185840533132.4719,119881490636.89787,9.401097892115212,4542953907261503.0,2930555983225748.5
