simulation,depletion_year
0,2051
1,2057
2,2054
3,2051
4,2051
5,2056
6,2052
7,2053
8,2048
9,2055
10,2054
11,2056
12,2059
13,2049
14,2056
15,2055
16,2052
17,2056
18,2054
19,2054
20,2051
21,2055
22,2049
23,2068
24,2055
25,2053
26,2053
27,2055
28,2049
29,2054
30,2055
31,2055
32,2053
33,2054
34,2053
35,2052
36,2049
37,2055
38,2051
39,2060
40,2055
41,2052
42,2052
43,2056
44,2053
45,2062
46,2055
47,2060
48,2055
49,2056
50,2055
51,2056
52,2067
53,2056
54,2062
55,2052
56,2061
57,2056
58,2052
59,2054
60,2052
61,2053
62,2049
63,2056
64,2059
65,2053
66,2052
67,2057
68,2060
69,2052
70,2050
71,2049
72,2049
73,2059
74,2052
75,2056
76,2061
77,2065
78,2055
79,2052
80,2054
81,2050
82,2063
83,2053
84,2052
85,2053
86,2061
87,2060
88,2049
89,2051
90,2065
91,2052
92,2054
93,2053
94,2056
95,2050
96,2052
97,2053
98,2054
99,2052
100,2051
101,2057
102,2056
103,2057
104,2057
105,2059
106,2053
107,2051
108,2050
109,2048
110,2056
111,2059
112,2052
113,2052
114,2051
115,2054
116,2053
117,2052
118,2062
119,2048
120,2053
121,2051
122,2053
123,2056
124,2055
125,2055
126,2059
127,2053
128,2052
129,2053
130,2056
131,2055
132,2061
133,2056
134,2048
135,2056
136,2056
137,2056
138,2057
139,2047
140,2054
141,2050
142,2049
143,2054
144,2052
145,2053
146,2056
147,2052
148,2057
149,2055
150,2053
151,2052
152,2051
153,2052
154,2057
155,2052
156,2052
157,2058
158,2055
159,2052
160,2055
161,2054
162,2059
163,2053
164,2050
165,2054
166,2056
167,2055
168,2050
169,2052
170,2048
171,2055
172,2054
173,2058
174,2056
175,2053
176,2055
177,2058
178,2051
179,2058
180,2052
181,2057
182,2051
183,2064
184,2056
185,2065
186,2060
187,2051
188,2061
189,2053
190,2051
191,2055
192,2052
193,2060
194,2057
195,2048
196,2056
197,2057
198,2055
199,2059
