year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,1069474907.5902653,1069474907.5902653,2651540206.87046,2651540206.87046,-1582065299.2801948,-1582065299.2801948,87467934700.7198,87467934700.7198,32.987595086840415,2100000000000000.0,2100000000000000.0,0
2024,19535845472.02408,19152789678.45498,2991457123.871422,2932801101.8347273,16544388348.152657,16219988576.62025,104012323048.87247,101972865734.18869,34.76978567363317,2186977799999999.8,2139899999999999.8,0
2025,26788393914.13753,25748167929.774635,3362547973.580077,3231976137.62022,23425845940.557453,22516191792.154415,127438168989.42992,122489589570.77078,37.89928649069876,2277558046520399.5,2180558099999999.5,0
2026,6663038298.2285,6278729804.363048,3766769249.600578,3549510792.983636,2896269048.6279225,2729219011.3794117,130334438038.05785,122817051923.8998,34.601120854928475,2371889945691181.0,2221988703899999.2,0
2027,23298182566.446613,21523919398.74238,4206164845.5532637,3885846153.677902,19092017720.89335,17638073245.064476,149426455758.9512,138046947680.26035,35.5255823881758,2470128883461818.5,2264206489274099.0,0
2028,-208789174.2557886,-189106787.88241482,4675713742.026068,4234937994.098137,-4884502916.281857,-4424044781.980552,144541952842.66934,130916100002.58841,30.913345174128818,2572436681557039.5,2307226412570306.5,0
2029,16253340148.070831,14432500916.424782,5178415513.720413,4598284781.252735,11074924634.350416,9834216135.172047,155616877477.01974,138183333784.76852,30.05106041890744,2678981864033769.0,2351063714409142.0,0
2030,30345119429.672756,26417252590.75646,5715957797.838782,4976085241.436124,24629161631.833973,21441167349.320335,180246039108.85373,156915024001.0542,31.533829584432063,2789939934878319.5,2395733924982915.5,0
2031,9649387042.918839,8235658929.017852,6216876611.14029,5306044326.485249,3432510431.7785487,2929614602.5326033,183678549540.63226,156767873427.0955,29.545149603177055,2903214620967106.5,2439815429202601.0,0
2032,-8067953368.367907,-6750902465.796897,6746414534.174623,5645097887.230453,-14814367902.54253,-12396000353.02735,168864181638.08972,141297993202.94864,25.030211348960503,3018717504990680.0,2483244143842407.5,0
2033,22989133868.900597,18859096884.954952,7525254294.843468,6173329566.9030485,15463879574.057127,12685767318.051903,184328061212.14685,151213211634.6682,24.494595662827503,3136351130222557.5,2525955943116497.0,0
2034,21783302505.336338,17519505074.430267,8343651067.072455,6710490164.33766,13439651438.263882,10809014910.092607,197767712650.41074,159057261610.7477,23.702778443226734,3256008947634718.0,2567886811772230.5,0
2035,11658947097.096743,9193000220.528343,9217110793.16585,7267628958.991299,2441836303.9308934,1925371261.5370445,200209548954.34164,157863863036.7799,21.72150833890265,3377575297703607.5,2608973000760586.0,0
2036,21141365729.108162,16342963333.213425,10148297649.225107,7844964157.044473,10993068079.883055,8497999176.168952,211202617034.2247,163266492349.4826,20.811630121072717,3500925428399838.0,2649151184972299.0,0
2037,14924223673.260073,11310696383.333107,11139958203.275541,8442696097.219967,3784265469.98453,2868000286.11314,214986882504.20923,162933188864.03723,19.29871536151684,3625925550709803.0,2688358622509889.0,0
2038,13312287102.352589,9891225406.884151,12190710346.18854,9057877356.241522,1121576756.1640487,833348050.6426296,216108459260.3733,160571768505.58112,17.72730654107783,3752432932877891.5,2726533314949529.5,0
2039,22033239542.204933,16050021107.082115,13290795620.821407,9681624430.91883,8742443921.383528,6368396676.163284,224850903181.7568,163791699132.61533,16.917791048528695,3880296034384485.0,2763614168032843.5,0
2040,17171201686.95273,12263029397.356384,14442386005.595083,10314211397.863508,2728815681.357647,1948817999.492876,227579718863.11444,162528915188.33142,15.757764594780145,4009354680488112.5,2799541152217270.0,0
2041,20028160374.00639,14022904249.175571,15577755222.343004,10906911359.843147,4450405151.663385,3115992889.332424,232030124014.77783,162458066603.38284,14.894965333771554,4140252092096688.0,2834255462504764.0,0
2042,36121773213.09694,24795096230.913666,16764278337.156406,11507516315.97369,19357494875.940536,13287579914.939976,251387618890.71838,172560194231.982,14.995433375353949,4272889208119097.5,2867699676962320.5,0
2043,14833104760.321981,9982254284.685356,17999304216.191505,12113015753.387877,-3166199455.869525,-2130761468.7025204,248221419434.84885,167045899543.0445,13.79061192885212,4407160478595033.0,2899817913344299.0,0
2044,24213014772.87006,15975161598.2975,19327850869.192234,12752048593.680416,4885163903.677823,3223113004.6170845,253106583338.52667,166993602752.69992,13.095433374952604,4542953907261503.0,2930555983225748.5,0
2045,29767693253.41333,19254906009.516815,20715727576.374176,13399741256.608877,9051965677.039154,5855164752.907938,262158549015.56583,169574383137.90787,12.655049070762631,4680151115260800.0,2959861543058006.0,0
2046,13658293899.45043,8661487901.98981,22165099651.215816,14056129110.175995,-8506805751.7653885,-5394641208.186184,253651743263.80045,160854754025.05682,11.443744772421402,4818627426459137.0,2987684241562751.5,0
2047,9793505712.05437,6088832943.436016,23678194566.975796,14721242357.885654,-13884688854.921423,-8632409414.449638,239767054408.87903,149068329825.80215,10.12606994721145,4958251974768217.0,3013975862888503.5,0
2048,4856031612.861396,2959901176.3002486,25257306568.41237,15395108059.844007,-20401274955.550972,-12435206883.543758,219365779453.32806,133710214514.3015,8.685240401986261,5098887833780542.0,3038690464964189.0,0
2049,13299643853.90326,7947591662.731106,26426239556.012993,15791773334.671999,-13126595702.109734,-7844181671.940893,206239183751.21832,123244263930.31548,7.8043333904573995,5240392168943620.0,3061784512497917.0,0
2050,19139149934.373276,11212901500.067085,27619987868.560837,16181502546.620905,-8480837934.18756,-4968601046.55382,197758345817.03076,115859108689.04958,7.159972218602395,5382616412408749.0,3083217004085402.0,0
2051,-2067098474.1899915,-1187288761.902193,28649725772.260815,16455673430.99807,-30716824246.4508,-17642962192.90026,167041521570.57996,95944399266.95226,5.830475408330526,5527053541219325.0,3103874558012774.0,0
2052,9673048246.029196,5447012511.217531,29685296180.861214,16716155609.244026,-20012247934.832016,-11269143098.026495,147029273635.74792,82793993438.2012,4.952932682226059,5673675217560791.0,3123739355184055.5,0
2053,16827478340.874945,9289960926.937038,30737513018.264668,16969286137.02498,-13910034677.389723,-7679325210.087942,133119238958.3582,73491256592.0701,4.330839612146137,5822450329115670.0,3142794165250678.0,0
2054,24140840017.746777,13066132362.077734,31815284740.566,17219894637.130676,-7674444722.819225,-4153762275.0529423,125444794235.53897,67896489285.80009,3.942909681886043,5973344951845031.0,3161022371409132.0,0
2055,14741028996.648716,7822080913.743282,32919968659.37056,17468431721.424004,-18178939662.721844,-9646350807.680721,107265854572.81712,56918834766.63309,3.2583826455826306,6126322316061783.0,3178407994451882.5,0
2056,1356992653.9260104,705946563.5315056,34024073163.715504,17700300335.28768,-32667080509.789494,-16994353771.756176,74598774063.02763,38808425411.21744,2.1925292043688187,6281342775947411.0,3194935716023032.5,0
2057,2279915793.789245,1162821270.0891752,35153007113.57718,17929023734.39247,-32873091319.787933,-16766202464.303295,41725682743.2397,21281273429.047134,1.1869733536145746,6438363782660543.0,3210590901031545.0,0
2058,9896589874.501194,4948568215.342615,36270772505.66472,18136387810.705532,-26374182631.16352,-13187819595.362917,15351500112.07618,7676173962.526431,0.42324712300182205,6597339861181997.0,3225359619176290.0,0
2059,6463487425.890624,3168551168.182269,37379420655.7838,18324257352.22037,-30915933229.893173,-15155706184.038101,0.0,0.0,0.0,6758222591036781.0,3239228665538748.0,0
2060,7751371314.38865,3725393789.4996853,38480251587.279205,18494029568.101227,-30728880272.890556,-14768635778.601542,0.0,0.0,0.0,6920960591028947.0,3252185580200903.0,0
2061,7706094689.418959,3631013086.850941,38911433433.107506,18334568898.78883,-31205338743.68855,-14703555811.93789,0.0,0.0,0.0,7086205446100355.0,3264543885405666.5,0
2062,7655387967.689451,3536392871.792754,39319640848.52517,18163638238.199387,-31664252880.835716,-14627245366.406631,0.0,0.0,0.0,7253950101420443.0,3276296243393127.0,0
2063,7598943935.531667,3441488873.9322677,39707069991.16333,17982951414.087185,-32108126055.631664,-14541462540.154917,0.0,0.0,0.0,7424185802400579.0,3287435650620664.0,0
2064,7536513092.073881,3346288767.959124,40075710374.27169,17794024617.88939,-32539197282.197815,-14447735849.930265,0.0,0.0,0.0,7596902060907626.0,3297955444702650.5,0
2065,7467712178.438597,3250725940.9620333,40427338374.061264,17598187294.37008,-32959626195.62267,-14347461353.408047,0.0,0.0,0.0,7772086622432155.0,3307849311036758.0,0
2066,7477281843.974076,3191070250.8598185,40822162586.67205,17421623435.402966,-33344880742.697975,-14230553184.543148,0.0,0.0,0.0,7949725434274463.0,3317111289107660.5,0
2067,7487824827.380432,3132911437.984845,41210658082.04892,17242569778.078228,-33722833254.66849,-14109658340.093384,0.0,0.0,0.0,8129802614811648.0,3325735778459340.0,0
2068,7499362510.660693,3076214522.735862,41594713742.823074,17062018578.621893,-34095351232.162384,-13985804055.886032,0.0,0.0,0.0,8312300423908941.0,3333717544327642.5,0
2069,7509783873.676159,3020087580.904511,41973981536.45151,16879993151.82674,-34464197662.77535,-13859905570.92223,0.0,0.0,0.0,8497199234538371.0,3341051722925163.0,0
2070,7519066059.297624,2964529849.4663877,42350061858.678925,16697289466.097525,-34830995799.3813,-13732759616.631138,0.0,0.0,0.0,8684477505667597.0,3347733826371013.5,0
2071,7543188230.104102,2915725939.419271,42377340431.39922,16380435827.693314,-34834152201.29512,-13464709888.274042,0.0,0.0,0.0,8875883389892511.0,3354429294023755.5,0
2072,7567761660.148653,2867867151.2773805,42370330036.539154,16056594163.165693,-34802568376.3905,-13188727011.888313,0.0,0.0,0.0,9071507859805742.0,3361138152611803.0,0
2073,7592831241.696972,2820948510.5751038,42328787908.50719,15726324924.649014,-34735956666.81021,-12905376414.07391,0.0,0.0,0.0,9271443893035860.0,3367860428917026.5,0
2074,7613644795.184413,2773216986.295911,42286468311.44284,15402550994.48944,-34672823516.25843,-12629334008.193531,0.0,0.0,0.0,9475786516438372.0,3374596149774860.5,0
2075,7637405641.284169,2727325204.5855594,42257150468.342674,15090070759.538347,-34619744827.05851,-12362745554.952787,0.0,0.0,0.0,9684632851260672.0,3381345342074410.0,0
2076,7664177923.620571,2683221189.631971,42242338701.88297,14789001434.214937,-34578160778.262405,-12105780244.582966,0.0,0.0,0.0,9898082159302458.0,3388108032758559.0,0
2077,7694067871.061477,2640868265.6625524,42238826968.390945,14497815666.427979,-34544759097.32947,-11856947400.765427,0.0,0.0,0.0,1.0116235890093484e+16,3394884248824076.0,0
2078,7727181729.064052,2600229488.900256,42243550902.01248,14215134394.746078,-34516369172.94843,-11614904905.845821,0.0,0.0,0.0,1.0339197729111144e+16,3401674017321724.0,0
2079,7763437385.213393,2561205560.063579,42253360575.077675,13939642540.6071,-34489923189.86428,-11378436980.54352,0.0,0.0,0.0,1.0567073647060754e+16,3408477365356367.5,0
2080,7802939238.153118,2523762218.996824,42265420422.80335,13670216821.826122,-34462481184.65023,-11146454602.829298,0.0,0.0,0.0,1.0799971950241974e+16,3415294320087080.0,0
2081,7845340425.863225,2487721909.837517,42275862079.054756,13405484356.62836,-34430521653.19153,-10917762446.790844,0.0,0.0,0.0,1.1038003332025306e+16,3422124908727254.0,0
2082,7890757606.549971,2453062247.151516,42282035558.94228,13144550920.720572,-34391277952.39232,-10691488673.569056,0.0,0.0,0.0,1.1281280925463144e+16,3428969158544708.5,0
2083,7939308753.319341,2419760515.9550023,42281360312.71338,12886608825.081358,-34342051559.394043,-10466848309.126356,0.0,0.0,0.0,1.1529920357060352e+16,3435827096861798.0,0
2084,8023798025.446949,2397560144.9073844,42295045571.46997,12638019460.06105,-34271247546.02302,-10240459315.153666,0.0,0.0,0.0,1.1784039801729962e+16,3442698751055521.5,0
2085,8104120338.169779,2374079358.251086,42293891578.42051,12389877097.890406,-34189771240.250736,-10015797739.63932,0.0,0.0,0.0,1.204376003896009e+16,3449584148557632.5,0
2086,8180521131.137585,2349471329.9979157,42275855667.05145,12141758360.943811,-34095334535.913868,-9792287030.945896,0.0,0.0,0.0,1.2309204510218772e+16,3456483316854748.0,0
