year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10019599006,10019599006,2651540207,2651540207,7368058799,7368058799,98868058799,98868058799,37.28702983,2.1E+15,2.1E+15
2024,10413823138,10189650820,2997322726,2932801102,7416500412,7256849719,1.06285E+11,1.03997E+11,35.45983163,2.18698E+15,2.1399E+15
2025,10761912711,10303568758,3375747364,3231976138,7386165347,7071592621,1.13671E+11,1.0883E+11,33.67275815,2.27756E+15,2.18056E+15
2026,11112226190,10409943814,3788970190,3549510793,7323256000,6860433021,1.20994E+11,1.13347E+11,31.93320994,2.37189E+15,2.22199E+15
2027,11463977910,10508282928,4239251529,3885846154,7224726381,6622436774,1.28219E+11,1.1753E+11,30.24560021,2.47013E+15,2.26421E+15
2028,11705069352,10498312889,4721734192,4234937994,6983335161,6263374895,1.35202E+11,1.21263E+11,28.63397993,2.57244E+15,2.30723E+15
2029,11939175325,10477772270,5239637471,4598284781,6699537854,5879487489,1.41902E+11,1.24532E+11,27.08232788,2.67898E+15,2.35106E+15
2030,12165152671,10446271116,5794875128,4976085241,6370277543,5470185874,1.48272E+11,1.27322E+11,25.58672175,2.78994E+15,2.39573E+15
2031,12379282792,10403352526,6313832302,5306044326,6065450490,5097308199,1.54337E+11,1.29703E+11,24.44431537,2.90321E+15,2.43982E+15
2032,12582774473,10350786707,6862376320,5645097887,5720398153,4705688820,1.60058E+11,1.31666E+11,23.32394766,3.01872E+15,2.48324E+15
2033,12753534173,10271447329,7665109606,6173329567,5088424567,4098117762,1.65146E+11,1.33005E+11,21.54517537,3.13635E+15,2.52596E+15
2034,12846332391,10131399531,8508714605,6710490164,4337617786,3420909367,1.69484E+11,1.33665E+11,19.91884278,3.25601E+15,2.56789E+15
2035,12912045136,9973775319,9408669249,7267628959,3503375886,2706146360,1.72987E+11,1.33622E+11,18.38592895,3.37758E+15,2.60897E+15
2036,12948305716,9797986313,10367333755,7844964157,2580971961,1953022156,1.75568E+11,1.32852E+11,16.93473949,3.50093E+15,2.64915E+15
2037,12952627302,9603425885,11387092198,8442696097,1565535104,1160729788,1.77134E+11,1.31332E+11,15.55565094,3.62593E+15,2.68836E+15
2038,12922399594,9389469081,12466041441,9057877356,456358153.2,331591724.7,1.7759E+11,1.29038E+11,14.24590079,3.75243E+15,2.72653E+15
2039,12854996209,9155551365,13593637390,9681624431,-738641180.6,-526073066,1.76851E+11,1.25957E+11,13.00986214,3.8803E+15,2.76361E+15
2040,12747996356,8901317856,14771467714,10314211398,-2023471358,-1412893542,1.74828E+11,1.22074E+11,11.83551157,4.00935E+15,2.79954E+15
2041,12601299624,8626359337,15932707257,10906911360,-3331407633,-2280552023,1.71496E+11,1.174E+11,10.76379969,4.14025E+15,2.83426E+15
2042,12408464220,8327795808,17146266282,11507516316,-4737802062,-3179720508,1.66759E+11,1.11918E+11,9.725654823,4.27289E+15,2.8677E+15
2043,12172866387,8009487328,18409433247,12113015753,-6236566860,-4103528425,1.60522E+11,1.0562E+11,8.71955689,4.40716E+15,2.89982E+15
2044,12036671304,7764582214,19768251934,12752048594,-7731580631,-4987466380,1.52791E+11,98561680645,7.72908603,4.54295E+15,2.93056E+15
2045,11858453651,7499625558,21187752560,13399741257,-9329298909,-5900115698,1.43461E+11,90728982974,6.770950367,4.68015E+15,2.95986E+15
2046,11635558710,7214372958,22670149776,14056129110,-11034591067,-6841756152,1.32427E+11,82108227155,5.841453683,4.81863E+15,2.98768E+15
2047,11364975402,6908435013,24217721811,14721242358,-12852746409,-7812807345,1.19574E+11,72685454572,4.937453837,4.95825E+15,3.01398E+15
2048,11043544057,6581417972,25832815185,15395108060,-14789271128,-8813690088,1.04785E+11,62446559492,4.056259901,5.09889E+15,3.03869E+15
2049,10694625224,6248509047,27028383277,15791773335,-16333758054,-9543264288,88450854307,51678852861,3.27251739,5.24039E+15,3.06178E+15
2050,10301510338,5900809088,28249332132,16181502547,-17947821794,-10280693459,70503032513,40384848562,2.495741569,5.38262E+15,3.08322E+15
2051,9862166982,5538381156,29302533466,16455673431,-19440366484,-10917292275,51062666029,28675696512,1.74260243,5.52705E+15,3.10387E+15
2052,9368727864,5158114065,30361700203,16716155609,-20992972338,-11558041545,30069693691,16555386408,0.990382406,5.67368E+15,3.12374E+15
2053,8834712867,4768728367,31437892671,16969286137,-22603179803,-12200557770,7466513888,4030213219,0.237500457,5.82245E+15,3.14279E+15
2054,8258421206,4370257267,32540222313,17219894637,-24281801107,-12849637370,0,0,0,5.97334E+15,3.16102E+15
2055,8066644554,4185069968,33670077368,17468431721,-25603432815,-13283361754,0,0,0,6.12632E+15,3.17841E+15
2056,8048069304,4093561676,34799339807,17700300335,-26751270503,-13606738659,0,0,0,6.28134E+15,3.19494E+15
2057,8025845629,4002213578,35953997450,17929023734,-27928151821,-13926810156,0,0,0,6.43836E+15,3.21059E+15
2058,7999610540,3910912784,37097232051,18136387811,-29097621512,-14225475027,0,0,0,6.59734E+15,3.22536E+15
2059,7967133393,3818661863,38231141666,18324257352,-30264008273,-14505595489,0,0,0,6.75822E+15,3.23923E+15
2060,7927992720,3725393789,39357055941,18494029568,-31429063221,-14768635779,0,0,0,6.92096E+15,3.25219E+15
2061,7881684429,3631013087,39798062622,18334568899,-31916378192,-14703555812,0,0,0,7.08621E+15,3.26454E+15
2062,7829822313,3536392872,40215571381,18163638238,-32385749067,-14627245366,0,0,0,7.25395E+15,3.2763E+15
2063,7772092157,3441488874,40611828417,17982951414,-32839736260,-14541462540,0,0,0,7.42419E+15,3.28744E+15
2064,7708238775,3346288768,40988868576,17794024618,-33280629801,-14447735850,0,0,0,7.5969E+15,3.29796E+15
2065,7637870176,3250725941,41348508710,17598187294,-33710638534,-14347461353,0,0,0,7.77209E+15,3.30785E+15
2066,7647657894,3191070251,41752329319,17421623435,-34104671425,-14230553185,0,0,0,7.94973E+15,3.31711E+15
2067,7658441108,3132911438,42149677006,17242569778,-34491235897,-14109658340,0,0,0,8.1298E+15,3.32574E+15
2068,7670241687,3076214523,42542483692,17062018579,-34872242005,-13985804056,0,0,0,8.3123E+15,3.33372E+15
2069,7680900509,3020087581,42930393416,16879993152,-35249492907,-13859905571,0,0,0,8.4972E+15,3.34105E+15
2070,7690394197,2964529849,43315043039,16697289466,-35624648842,-13732759617,0,0,0,8.68448E+15,3.34773E+15
2071,7715066012,2915725939,43342943177,16380435828,-35627877165,-13464709888,0,0,0,8.87588E+15,3.35443E+15
2072,7740199368,2867867151,43335773045,16056594163,-35595573677,-13188727012,0,0,0,9.07151E+15,3.36114E+15
2073,7765840180,2820948511,43293284345,15726324925,-35527444164,-12905376414,0,0,0,9.27144E+15,3.36786E+15
2074,7787127988,2773216986,43250000461,15402550994,-35462872473,-12629334008,0,0,0,9.47579E+15,3.3746E+15
2075,7811430245,2727325205,43220014586,15090070760,-35408584342,-12362745555,0,0,0,9.68463E+15,3.38135E+15
2076,7838812555,2683221190,43204865321,14789001434,-35366052766,-12105780245,0,0,0,9.89808E+15,3.38811E+15
2077,7869383570,2640868266,43201273570,14497815666,-35331890000,-11856947401,0,0,0,1.01E+16,3.39488E+15
2078,7903251955,2600229489,43206105143,14215134395,-35302853188,-11614904906,0,0,0,1.03E+16,3.40167E+15
2079,7940333726,2561205560,43216138337,13939642541,-35275804611,-11378436981,0,0,0,1.06E+16,3.40848E+15
2080,7980735661,2523762219,43228472978,13670216822,-35247737317,-11146454603,0,0,0,1.08E+16,3.41529E+15
2081,8024102995,2487721910,43239152557,13405484357,-35215049561,-10917762447,0,0,0,1.10E+16,3.42212E+15
2082,8070555044,2453062247,43245466704,13144550921,-35174911660,-10691488674,0,0,0,1.13E+16,3.42897E+15
2083,8120212469,2419760516,43244776072,12886608825,-35124563603,-10466848309,0,0,0,1.15E+16,3.43583E+15
2084,8206626899,2397560145,43258773161,12638019460,-35052146262,-10240459315,0,0,0,1.18E+16,3.4427E+15
2085,8288779422,2374079358,43257592873,12389877098,-34968813451,-10015797740,0,0,0,1.20E+16,3.44958E+15
2086,8366921070,2349471330,43239145998,12141758361,-34872224928,-9792287031,0,0,0,1.23E+16,3.45648E+15
2087,8441336139,2323889643,43201384083,11893288858,-34760047944,-9569399215,0,0,0,1.26E+16,3.4634E+15
2088,8512344278,2297488332,43142293327,11644138475,-34629949049,-9346650143,0,0,0,1.29E+16,3.47032E+15
2089,8586015223,2271933507,42933337458,11360530513,-34347322235,-9088597006,0,0,0,1.31E+16,3.47726E+15
2090,8655042997,2245292990,42741373639,11087975720,-34086330642,-8842682731,0,0,0,1.34E+16,3.48422E+15
2091,8721592241,2218193341,42564333343,10825537148,-33842741101,-8607343807,0,0,0,1.37E+16,3.49119E+15
2092,8786334407,2190842593,42400301482,10572370927,-33613967074,-8381528334,0,0,0,1.40E+16,3.49817E+15
2093,8849747333,2163386657,42247751536,10327777566,-33398004203,-8164390909,0,0,0,1.43E+16,3.50517E+15
