year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp,simulation
2023,21218843708.45713,21218843708.45713,2651540206.87046,2651540206.87046,18567303501.58667,18567303501.58667,107617303501.58667,107617303501.58667,40.58671379854519,2100000000000000.0,2100000000000000.0,0
2024,16047891759.446188,15733227215.143322,2991457123.871422,2932801101.8347273,13056434635.574766,12800426113.308594,120673738137.16144,118307586408.9818,40.339451023449875,2186977799999999.8,2139899999999999.8,0
2025,6357103075.591128,6110249015.370173,3362547973.580077,3231976137.62022,2994555102.011051,2878272877.7499533,123668293239.17249,118866102690.4772,36.77814984673776,2277558046520399.5,2180558099999999.5,0
2026,10040200258.3256,9461104946.745218,3766769249.600578,3549510792.983636,6273431008.725021,5911594153.761582,129941724247.8975,122446988948.34709,34.49686339604591,2371889945691181.0,2221988703899999.2,0
2027,-3358408891.2460084,-3102650692.904402,4206164845.5532637,3885846153.677902,-7564573736.799272,-6988496846.582304,122377150511.09824,113057570749.83641,29.09471097892769,2470128883461818.5,2264206489274099.0,0
2028,11007153764.854189,9969518293.363792,4675713742.026068,4234937994.098137,6331440022.828121,5734580299.2656555,128708590533.92636,116575335936.36017,27.527046700287237,2572436681557039.5,2307226412570306.5,0
2029,21720618419.2393,19287287559.67078,5178415513.720413,4598284781.252735,16542202905.518885,14689002778.418045,145250793439.44525,128978547814.06526,28.049273576946003,2678981864033769.0,2351063714409142.0,0
2030,5916794158.571819,5150925379.508044,5715957797.838782,4976085241.436124,200836360.7330362,174840138.0719204,145451629800.17828,126624396818.52806,25.446589170965172,2789939934878319.5,2395733924982915.5,0
2031,20267855911.397213,17298419865.0461,6216876611.14029,5306044326.485249,14050979300.256922,11992375538.560852,159502609100.4352,136133941046.92169,25.656389707753824,2903214620967106.5,2439815429202601.0,0
2032,5029701217.103267,4208628979.177277,6746414534.174623,5645097887.230453,-1716713317.0713558,-1436468908.0531754,157785895783.36386,132028179177.16418,23.38811156416256,3018717504990680.0,2483244143842407.5,0
2033,-4547640624.512812,-3730649254.762274,7525254294.843468,6173329566.9030485,-12072894919.35628,-9903978821.665321,145713000864.00757,119535412528.49562,19.363199588332122,3136351130222557.5,2525955943116497.0,0
2034,-65015122.49392707,-52289260.003988266,8343651067.072455,6710490164.33766,-8408666189.566382,-6762779424.341648,137304334674.4412,110428801485.94818,16.456145345806902,3256008947634718.0,2567886811772230.5,0
2035,33582091100.531883,26479249654.53086,9217110793.16585,7267628958.991299,24364980307.36603,19211620695.539562,161669314981.80722,127475151564.11621,17.540129288852544,3377575297703607.5,2608973000760586.0,0
2036,8412847839.590128,6503405008.552644,10148297649.225107,7844964157.044473,-1735449809.634979,-1341559148.491829,159933865172.17224,123634079639.8574,15.75967425279296,3500925428399838.0,2649151184972299.0,0
2037,36020646026.37695,27299147992.9265,11139958203.275541,8442696097.219967,24880687823.10141,18856451895.70653,184814552995.27365,140066333895.5667,16.59023755950284,3625925550709803.0,2688358622509889.0,0
2038,-5985027634.048676,-4446963691.486501,12190710346.18854,9057877356.241522,-18175737980.237217,-13504841047.728024,166638815015.03644,123815094144.00406,13.669327732582584,3752432932877891.5,2726533314949529.5,0
2039,14737574906.481195,10735524744.926174,13290795620.821407,9681624430.91883,1446779285.6597886,1053900314.0073433,168085594300.69623,122441247514.01132,12.64676691268751,3880296034384485.0,2763614168032843.5,0
2040,13139727889.142948,9383901739.402306,14442386005.595083,10314211397.863508,-1302658116.4521344,-930309658.4612026,166782936184.24408,119110129080.76556,11.548156663284805,4009354680488112.5,2799541152217270.0,0
