year,nominal_revenue,real_revenue,nominal_expenditure,real_expenditure,nominal_balance,real_balance,nominal_reserve_fund,real_reserve_fund,fund_ratio,nominal_gdp,real_gdp
2023,10107099005.764967,10107099005.764967,2651540206.87046,2651540206.87046,7455558798.894506,7455558798.894506,102455558798.8945,102455558798.8945,38.64001704874013,2100000000000000.0,2100000000000000.0
2024,10460608228.731867,10235428795.23666,2997322726.0750914,2932801101.8347273,7463285502.656775,7302627693.401933,109918844301.55127,107552685226.5668,36.67234206891256,2186977799999999.8,2139899999999999.8
2025,10818146813.661777,10357407881.462788,3375747364.126118,3231976137.62022,7442399449.53566,7125431743.842567,117361243751.08693,112362892826.58894,34.76600322591626,2277558046520399.5,2180558099999999.5
2026,11178835107.01902,10472343110.05046,3788970190.182892,3549510792.983636,7389864916.836128,6922832317.066825,124751108667.92307,116866954456.58635,32.92480605710476,2371889945691181.0,2221988703899999.2
2027,11541693513.401682,10579519767.257038,4239251528.6739926,3885846153.677902,7302441984.72769,6693673613.579136,132053550652.65076,121044901066.20766,31.150204171526514,2470128883461818.5,2264206489274099.0
2028,11794402460.308315,10578436029.934277,4721734191.661465,4234937994.098137,7072668268.646852,6343498035.83614,139126218921.2976,124782735869.69882,29.465067975870628,2572436681557039.5,2307226412570306.5
2029,12040388300.2358,10566596370.106646,5239637470.962562,4598284781.252735,6800750829.273239,5968311588.85391,145926969750.57086,128064922028.87233,27.850585190154952,2678981864033769.0,2351063714409142.0
2030,12278214770.387827,10543358047.214502,5794875127.6877575,4976085241.436124,6483339642.700068,5567272805.7783785,152410309393.27094,130875415691.17204,26.300878972362764,2789939934878319.5,2395733924982915.5
2031,12545280734.241665,10542854557.85039,6313832302.136961,5306044326.485249,6231448432.104703,5236810231.365141,158641757825.37564,133320012121.33582,25.126064525293494,2903214620967106.5,2439815429202601.0
2032,12806568484.195713,10534883154.359264,6862376320.034495,5645097887.230453,5944192164.161219,4889785267.128812,164585949989.53687,135390971760.21397,23.983812940866166,3018717504990680.0,2483244143842407.5
2033,13039722063.776552,10501937466.818777,7665109606.189099,6173329566.9030485,5374612457.587452,4328607899.915729,169960562447.12433,136882917436.0563,22.173272292139405,3136351130222557.5,2525955943116497.0
